Date,X,Y,Z,F
1958-02-10 23:58:00,26276.8,-21547.1,90648.7,
1958-02-10 23:59:00,26276.3,-21546.3,90649.6,
1958-02-11 00:00:00,26272,-21546.9,90649.6,
1958-02-11 00:01:00,26267.5,-21542,90648.9,
1958-02-11 00:02:00,26263,-21532.2,90648.3,
1958-02-11 00:03:00,26258,-21521.2,90648.8,
1958-02-11 00:04:00,26252.7,-21511.4,90649.8,
1958-02-11 00:05:00,26246.2,-21506,90650.9,
1958-02-11 00:06:00,26238,-21505.8,90651.7,
1958-02-11 00:07:00,26231.9,-21503.9,90651.9,
1958-02-11 00:08:00,26228.8,-21499,90651.5,
1958-02-11 00:09:00,26227.7,-21493.1,90651,
1958-02-11 00:10:00,26228.1,-21487.5,90650.8,
1958-02-11 00:11:00,26230.2,-21483.1,90650.8,
1958-02-11 00:12:00,26234.2,-21480.7,90651.1,
1958-02-11 00:13:00,26240.1,-21481.3,90651.6,
1958-02-11 00:14:00,26247.1,-21485.1,90652.2,
1958-02-11 00:15:00,26254,-21492.2,90652.9,
1958-02-11 00:16:00,26258.2,-21500.2,90653.6,
1958-02-11 00:17:00,26255.9,-21502.7,90654.4,
1958-02-11 00:18:00,26250.7,-21494,90655.2,
1958-02-11 00:19:00,26244.5,-21491,90655.8,
1958-02-11 00:20:00,26244,-21492.7,90656,
1958-02-11 00:21:00,26248.8,-21495.1,90655.1,
1958-02-11 00:22:00,26255.9,-21497.4,90653.6,
1958-02-11 00:23:00,26263.4,-21499.6,90652.6,
1958-02-11 00:24:00,26269.5,-21501,90652.5,
1958-02-11 00:25:00,26271.2,-21500.2,90652.9,
1958-02-11 00:26:00,26267.3,-21497.7,90653.5,
1958-02-11 00:27:00,26265.4,-21499.2,90654.1,
1958-02-11 00:28:00,26269.1,-21506.4,90654.5,
1958-02-11 00:29:00,26270.5,-21509.5,90654.4,
1958-02-11 00:30:00,26266.3,-21504,90653.4,
1958-02-11 00:31:00,26261.5,-21496.7,90652.6,
1958-02-11 00:32:00,26259.6,-21493.2,90652.6,
1958-02-11 00:33:00,26260.6,-21496.5,90653.1,
1958-02-11 00:34:00,26263.6,-21504.2,90653.7,
1958-02-11 00:35:00,26268.4,-21511.7,90654.4,
1958-02-11 00:36:00,26274.2,-21516.4,90655.1,
1958-02-11 00:37:00,26279.1,-21517,90655.7,
1958-02-11 00:38:00,26279.9,-21512.6,90656.2,
1958-02-11 00:39:00,26276.7,-21504.1,90656.3,
1958-02-11 00:40:00,26275,-21496.7,90656.1,
1958-02-11 00:41:00,26279.6,-21495.8,90655.5,
1958-02-11 00:42:00,26287.4,-21500.7,90654.7,
1958-02-11 00:43:00,26293.7,-21507.5,90653.8,
1958-02-11 00:44:00,26298.9,-21509.4,90652.7,
1958-02-11 00:45:00,26301.8,-21505.4,90651.6,
1958-02-11 00:46:00,26300.3,-21498.8,90650.5,
1958-02-11 00:47:00,26295.5,-21491.9,90649.4,
1958-02-11 00:48:00,26288.5,-21486.4,90648.4,
1958-02-11 00:49:00,26280.6,-21483,90647.5,
1958-02-11 00:50:00,26273.5,-21482.4,90646.8,
1958-02-11 00:51:00,26269.7,-21485.5,90646.3,
1958-02-11 00:52:00,26271,-21493.5,90646,
1958-02-11 00:53:00,26276.8,-21504.9,90646,
1958-02-11 00:54:00,26284.6,-21515.9,90646.1,
1958-02-11 00:55:00,26289.6,-21516.3,90646.5,
1958-02-11 00:56:00,26287,-21514.4,90646.8,
