Date,X,Y,Z,F
1958-02-10 23:58:00,72707,-32038.4,211947,
1958-02-10 23:59:00,72705.5,-32036.8,211949,
1958-02-11 00:00:00,72696.2,-32040.8,211950,
1958-02-11 00:01:00,72682.9,-32032.8,211948,
1958-02-11 00:02:00,72666.6,-32013.4,211946,
1958-02-11 00:03:00,72648.4,-31991.7,211947,
1958-02-11 00:04:00,72630.3,-31973,211950,
1958-02-11 00:05:00,72612.2,-31965,211952,
1958-02-11 00:06:00,72593.7,-31969.5,211954,
1958-02-11 00:07:00,72578.8,-31969.2,211955,
1958-02-11 00:08:00,72568.7,-31960.2,211954,
1958-02-11 00:09:00,72562.5,-31947.4,211953,
1958-02-11 00:10:00,72560,-31934.6,211952,
1958-02-11 00:11:00,72561.9,-31923.4,211952,
1958-02-11 00:12:00,72569.5,-31915.5,211953,
1958-02-11 00:13:00,72583,-31913.1,211954,
1958-02-11 00:14:00,72601.3,-31917.3,211956,
1958-02-11 00:15:00,72621.2,-31928.9,211957,
1958-02-11 00:16:00,72635.8,-31944.4,211959,
1958-02-11 00:17:00,72632.2,-31951.5,211961,
1958-02-11 00:18:00,72615,-31935.1,211963,
1958-02-11 00:19:00,72599.1,-31932.2,211964,
1958-02-11 00:20:00,72599.1,-31936.5,211964,
1958-02-11 00:21:00,72611.4,-31938.8,211962,
1958-02-11 00:22:00,72628.9,-31939.5,211959,
1958-02-11 00:23:00,72647.1,-31939.6,211957,
1958-02-11 00:24:00,72661.8,-31939.1,211956,
1958-02-11 00:25:00,72665.1,-31936.2,211957,
1958-02-11 00:26:00,72654.7,-31932.9,211959,
1958-02-11 00:27:00,72651.2,-31937.6,211960,
1958-02-11 00:28:00,72664.3,-31951.5,211961,
1958-02-11 00:29:00,72669.3,-31957.5,211961,
1958-02-11 00:30:00,72656.4,-31947.8,211958,
1958-02-11 00:31:00,72641.1,-31934.3,211956,
1958-02-11 00:32:00,72634.5,-31927.6,211957,
1958-02-11 00:33:00,72638.8,-31934.5,211958,
1958-02-11 00:34:00,72650.5,-31950,211959,
1958-02-11 00:35:00,72665.9,-31963.7,211961,
1958-02-11 00:36:00,72681.9,-31970.7,211962,
1958-02-11 00:37:00,72693.5,-31969.1,211964,
1958-02-11 00:38:00,72692.4,-31958.6,211965,
1958-02-11 00:39:00,72679.9,-31941.6,211965,
1958-02-11 00:40:00,72671.3,-31926,211965,
1958-02-11 00:41:00,72681.2,-31921.1,211963,
1958-02-11 00:42:00,72701.8,-31927.2,211961,
1958-02-11 00:43:00,72720.3,-31938.5,211959,
1958-02-11 00:44:00,72733.3,-31939.6,211957,
1958-02-11 00:45:00,72737.1,-31928.8,211954,
1958-02-11 00:46:00,72729.6,-31914.7,211951,
1958-02-11 00:47:00,72714.5,-31902.3,211949,
1958-02-11 00:48:00,72695.3,-31894.1,211947,
1958-02-11 00:49:00,72675.3,-31891.6,211944,
1958-02-11 00:50:00,72659,-31894.5,211943,
1958-02-11 00:51:00,72652.5,-31904.1,211942,
1958-02-11 00:52:00,72660.3,-31921.2,211941,
1958-02-11 00:53:00,72680.6,-31943.3,211941,
1958-02-11 00:54:00,72705,-31963.1,211941,
1958-02-11 00:55:00,72716.6,-31960.8,211942,
1958-02-11 00:56:00,72709.6,-31958.2,211943,
1958-02-11 00:57:00,72700.2,-31963.4,211944,
1958-02-11 00:58:00,72698.7,-31971.2,211944,
1958-02-11 00:59:00,72703.8,-31978.2,211944,
1958-02-11 01:00:00,72713,-31981.8,211944,
1958-02-11 01:01:00,72724.6,-31980.7,211943,
1958-02-11 01:02:00,72737.2,-31976.1,211941,
1958-02-11 01:03:00,72749.5,-31969.5,211939,
1958-02-11 01:04:00,72760.2,-31962,211937,
1958-02-11 01:05:00,72768.2,-31954.5,211935,
1958-02-11 01:06:00,72772.2,-31948,211933,
1958-02-11 01:07:00,72770.4,-31942.7,211930,
1958-02-11 01:08:00,72760.3,-31938.3,211927,
1958-02-11 01:09:00,72741.2,-31934.4,211925,
1958-02-11 01:10:00,72718.4,-31932.8,211923,
1958-02-11 01:11:00,72699.4,-31933.8,211922,
1958-02-11 01:12:00,72688.3,-31936.6,211920,
1958-02-11 01:13:00,72686.4,-31938.9,211908,
1958-02-11 01:14:00,72692.4,-31936.3,211867,
1958-02-11 01:15:00,72705.1,-31922.9,211822,
1958-02-11 01:16:00,72720.4,-31909,211806,
1958-02-11 01:17:00,72728.8,-31928.7,211796,
1958-02-11 01:18:00,72706.1,-32078.8,211784,
1958-02-11 01:19:00,72637.8,-32406,211773,
1958-02-11 01:20:00,72611.3,-32512.9,211773,
1958-02-11 01:21:00,72624.9,-32360.2,211775,
1958-02-11 01:22:00,72653.6,-32233.7,211770,
1958-02-11 01:23:00,72658.2,-32255.4,211758,
1958-02-11 01:24:00,72654.2,-32328,211741,
1958-02-11 01:25:00,72680.6,-32282.4,211721,
1958-02-11 01:26:00,72694.4,-32294.3,211700,
1958-02-11 01:27:00,72698.4,-32349.9,211680,
1958-02-11 01:28:00,72712.6,-32419.7,211671,
1958-02-11 01:29:00,73403.1,-32777.6,211672,
1958-02-11 01:30:00,73260.2,-32692.9,211664,
1958-02-11 01:31:00,73008.1,-32685,211650,
1958-02-11 01:32:00,72908.3,-32757.2,211631,
1958-02-11 01:33:00,72967.6,-32776.8,211605,
1958-02-11 01:34:00,72911.8,-32676.9,211574,
1958-02-11 01:35:00,72829.1,-32644.7,211556,
1958-02-11 01:36:00,72771.4,-32646.7,211558,
1958-02-11 01:37:00,72767.3,-32693.4,211553,
1958-02-11 01:38:00,72807.7,-32798.6,211543,
1958-02-11 01:39:00,72862.7,-32948.3,211529,
1958-02-11 01:40:00,72854.3,-32917.1,211477,
1958-02-11 01:41:00,72912.9,-32851,211420,
1958-02-11 01:42:00,72864.6,-32785.6,211378,
1958-02-11 01:43:00,72710.1,-32777.5,211346,
1958-02-11 01:44:00,72648.4,-32740.8,211324,
1958-02-11 01:45:00,72676.7,-32758.6,211302,
1958-02-11 01:46:00,72750.5,-32752.1,211269,
1958-02-11 01:47:00,72812.1,-32730.1,211184,
1958-02-11 01:48:00,72819,-32679.4,210731,
1958-02-11 01:49:00,72722.3,-32580.2,210383,
1958-02-11 01:50:00,72513.8,-32430.1,210007,
1958-02-11 01:51:00,72222.6,-32242.8,209622,
1958-02-11 01:52:00,72128.7,-32376.1,209241,
1958-02-11 01:53:00,72169.2,-32382.8,208873,
1958-02-11 01:54:00,72102.4,-32333.7,208535,
1958-02-11 01:55:00,71981.6,-32209.2,208309,
1958-02-11 01:56:00,71796.5,-32053,208707,
1958-02-11 01:57:00,71574.3,-31888,208842,
1958-02-11 01:58:00,71372.1,-31746.7,208923,
1958-02-11 01:59:00,71289,-31685,209034,
1958-02-11 02:00:00,71489.8,-31809.5,209181,
1958-02-11 02:01:00,70747.1,-31724.3,209347,
1958-02-11 02:02:00,69224.3,-30636.5,209524,
1958-02-11 02:03:00,69239.7,-29825.2,209707,
1958-02-11 02:04:00,69522,-31449.1,209946,
1958-02-11 02:05:00,70519,-31462.9,210335,
1958-02-11 02:06:00,71444,-32169.1,210180,
1958-02-11 02:07:00,72276.6,-33193.2,210305,
1958-02-11 02:08:00,73074.7,-33978,210175,
1958-02-11 02:09:00,73821,-34272.1,210146,
1958-02-11 02:10:00,74228.4,-34748.2,209850,
1958-02-11 02:11:00,74435,-34703.7,209574,
1958-02-11 02:12:00,74219.4,-35069.9,209649,
1958-02-11 02:13:00,73805.7,-35172.7,209745,
1958-02-11 02:14:00,73332.6,-34974.3,209716,
1958-02-11 02:15:00,73280.6,-34786.3,209446,
1958-02-11 02:16:00,73303.7,-34559.9,209086,
1958-02-11 02:17:00,73244.8,-34328.3,209417,
1958-02-11 02:18:00,72887.8,-34193.4,209252,
1958-02-11 02:19:00,72997.3,-34404.7,209265,
1958-02-11 02:20:00,72968.6,-34054.6,209250,
1958-02-11 02:21:00,72625.5,-34009.9,209034,
1958-02-11 02:22:00,72438.7,-33805.8,209354,
1958-02-11 02:23:00,72470.4,-34521.5,209262,
1958-02-11 02:24:00,72954.6,-34406,209068,
1958-02-11 02:25:00,72163.6,-34235,209359,
