Date,X,Y,Z,F
1958-02-10 23:58:00,30690.5,-25901.5,107129,
1958-02-10 23:59:00,30690,-25900.5,107130,
1958-02-11 00:00:00,30684.9,-25901.1,107130,
1958-02-11 00:01:00,30679.6,-25895.3,107129,
1958-02-11 00:02:00,30674.5,-25883.6,107129,
1958-02-11 00:03:00,30668.8,-25870.5,107129,
1958-02-11 00:04:00,30662.7,-25858.8,107130,
1958-02-11 00:05:00,30655,-25852.4,107132,
1958-02-11 00:06:00,30645.4,-25851.9,107133,
1958-02-11 00:07:00,30638.2,-25849.7,107133,
1958-02-11 00:08:00,30634.6,-25843.8,107132,
1958-02-11 00:09:00,30633.4,-25836.8,107132,
1958-02-11 00:10:00,30634,-25830.2,107132,
1958-02-11 00:11:00,30636.5,-25825,107132,
1958-02-11 00:12:00,30641.3,-25822.3,107132,
1958-02-11 00:13:00,30648.3,-25823.1,107133,
1958-02-11 00:14:00,30656.5,-25827.7,107133,
1958-02-11 00:15:00,30664.5,-25836.2,107134,
1958-02-11 00:16:00,30669.4,-25845.8,107135,
1958-02-11 00:17:00,30666.6,-25848.7,107136,
1958-02-11 00:18:00,30660.6,-25838.3,107137,
1958-02-11 00:19:00,30653.4,-25834.6,107138,
1958-02-11 00:20:00,30652.7,-25836.7,107138,
1958-02-11 00:21:00,30658.4,-25839.5,107137,
1958-02-11 00:22:00,30666.7,-25842.4,107135,
1958-02-11 00:23:00,30675.6,-25845.1,107134,
1958-02-11 00:24:00,30682.7,-25846.9,107134,
1958-02-11 00:25:00,30684.7,-25846,107134,
1958-02-11 00:26:00,30680.2,-25842.9,107135,
1958-02-11 00:27:00,30677.8,-25844.7,107136,
1958-02-11 00:28:00,30682.2,-25853.2,107136,
1958-02-11 00:29:00,30683.8,-25856.9,107136,
1958-02-11 00:30:00,30678.9,-25850.3,107135,
1958-02-11 00:31:00,30673.4,-25841.6,107134,
1958-02-11 00:32:00,30671.1,-25837.4,107134,
1958-02-11 00:33:00,30672.3,-25841.4,107134,
1958-02-11 00:34:00,30675.7,-25850.6,107135,
1958-02-11 00:35:00,30681.3,-25859.4,107136,
1958-02-11 00:36:00,30688,-25865.1,107137,
1958-02-11 00:37:00,30693.8,-25866,107137,
1958-02-11 00:38:00,30694.8,-25860.7,107138,
1958-02-11 00:39:00,30691.2,-25850.7,107138,
1958-02-11 00:40:00,30689.2,-25841.9,107138,
1958-02-11 00:41:00,30694.8,-25840.9,107137,
1958-02-11 00:42:00,30703.8,-25846.8,107136,
1958-02-11 00:43:00,30711.2,-25854.9,107135,
1958-02-11 00:44:00,30717.4,-25857.3,107134,
1958-02-11 00:45:00,30720.7,-25852.6,107133,
1958-02-11 00:46:00,30719.1,-25844.7,107131,
1958-02-11 00:47:00,30713.5,-25836.6,107130,
1958-02-11 00:48:00,30705.4,-25829.9,107129,
1958-02-11 00:49:00,30696.1,-25825.8,107128,
1958-02-11 00:50:00,30687.8,-25824.9,107127,
1958-02-11 00:51:00,30683.2,-25828.6,107126,
1958-02-11 00:52:00,30684.6,-25838,107126,
1958-02-11 00:53:00,30691.3,-25851.6,107126,
1958-02-11 00:54:00,30700.3,-25864.7,107126,
1958-02-11 00:55:00,30706.2,-25865.2,107127,
1958-02-11 00:56:00,30703.2,-25863,107127,
1958-02-11 00:57:00,30697.9,-25864.2,107127,
1958-02-11 00:58:00,30696.1,-25867.7,107128,
1958-02-11 00:59:00,30697.6,-25871.8,107128,
1958-02-11 01:00:00,30701.5,-25874.9,107127,
1958-02-11 01:01:00,30707.3,-25876,107127,
1958-02-11 01:02:00,30714,-25875.6,107126,
1958-02-11 01:03:00,30720.9,-25874.1,107125,
1958-02-11 01:04:00,30727.2,-25872,107124,
1958-02-11 01:05:00,30732.2,-25869.5,107123,
