Date,X,Y,Z,F
1958-02-10 23:58:00,67466.2,-33449.4,200877,
1958-02-10 23:59:00,67464.8,-33447.8,200879,
1958-02-11 00:00:00,67455.8,-33451.2,200879,
1958-02-11 00:01:00,67443.6,-33443,200878,
1958-02-11 00:02:00,67429.1,-33424,200876,
1958-02-11 00:03:00,67412.7,-33402.7,200877,
1958-02-11 00:04:00,67396.4,-33384.1,200880,
1958-02-11 00:05:00,67379.6,-33375.8,200882,
1958-02-11 00:06:00,67361.9,-33379.3,200884,
1958-02-11 00:07:00,67347.8,-33378.4,200884,
1958-02-11 00:08:00,67338.6,-33369.4,200883,
1958-02-11 00:09:00,67333.3,-33357.1,200882,
1958-02-11 00:10:00,67331.5,-33344.8,200882,
1958-02-11 00:11:00,67333.7,-33334.3,200882,
1958-02-11 00:12:00,67341.3,-33327.2,200883,
1958-02-11 00:13:00,67354.2,-33325.5,200884,
1958-02-11 00:14:00,67371.3,-33330.2,200885,
1958-02-11 00:15:00,67389.6,-33342.1,200886,
1958-02-11 00:16:00,67402.8,-33357.4,200888,
1958-02-11 00:17:00,67399.1,-33363.9,200890,
1958-02-11 00:18:00,67383.5,-33347.6,200892,
1958-02-11 00:19:00,67368.6,-33344.2,200893,
1958-02-11 00:20:00,67368.4,-33348.2,200893,
1958-02-11 00:21:00,67379.9,-33350.9,200891,
1958-02-11 00:22:00,67396.4,-33352.4,200888,
1958-02-11 00:23:00,67413.8,-33353.3,200886,
1958-02-11 00:24:00,67427.6,-33353.5,200886,
1958-02-11 00:25:00,67430.9,-33350.9,200887,
1958-02-11 00:26:00,67421.2,-33347.3,200888,
1958-02-11 00:27:00,67417.7,-33351.6,200889,
1958-02-11 00:28:00,67429.5,-33365.3,200890,
1958-02-11 00:29:00,67434,-33371.2,200890,
1958-02-11 00:30:00,67422.2,-33361.4,200888,
1958-02-11 00:31:00,67408.2,-33348,200886,
1958-02-11 00:32:00,67402.3,-33341.4,200886,
1958-02-11 00:33:00,67406.1,-33348.1,200887,
1958-02-11 00:34:00,67416.5,-33363.2,200888,
1958-02-11 00:35:00,67430.5,-33376.9,200890,
1958-02-11 00:36:00,67445.3,-33384.3,200891,
1958-02-11 00:37:00,67456.4,-33383.2,200893,
1958-02-11 00:38:00,67455.8,-33373.2,200894,
1958-02-11 00:39:00,67444.7,-33356.6,200894,
1958-02-11 00:40:00,67437.2,-33341.5,200894,
1958-02-11 00:41:00,67446.8,-33337.2,200892,
1958-02-11 00:42:00,67466,-33343.9,200891,
1958-02-11 00:43:00,67483.1,-33355.3,200888,
1958-02-11 00:44:00,67495.3,-33357,200886,
1958-02-11 00:45:00,67499.4,-33346.9,200884,
1958-02-11 00:46:00,67492.9,-33333.2,200881,
1958-02-11 00:47:00,67479.1,-33320.9,200879,
1958-02-11 00:48:00,67461.3,-33312.3,200876,
1958-02-11 00:49:00,67442.5,-33309.1,200874,
1958-02-11 00:50:00,67426.9,-33311.1,200873,
1958-02-11 00:51:00,67420.3,-33319.9,200872,
1958-02-11 00:52:00,67427,-33336.4,200871,
1958-02-11 00:53:00,67445.3,-33358.2,200871,
1958-02-11 00:54:00,67467.5,-33378.1,200872,
1958-02-11 00:55:00,67478.6,-33376.3,200872,
1958-02-11 00:56:00,67472.1,-33373.6,200873,
1958-02-11 00:57:00,67463,-33378.1,200874,
1958-02-11 00:58:00,67461.2,-33385.4,200874,
1958-02-11 00:59:00,67465.8,-33392.3,200874,
1958-02-11 01:00:00,67474.3,-33396,200874,
1958-02-11 01:01:00,67485.4,-33395.5,200873,
1958-02-11 01:02:00,67497.5,-33391.7,200871,
1958-02-11 01:03:00,67509.4,-33386,200870,
1958-02-11 01:04:00,67519.8,-33379.3,200868,
1958-02-11 01:05:00,67527.8,-33372.5,200866,
1958-02-11 01:06:00,67531.8,-33366.6,200863,
1958-02-11 01:07:00,67530.3,-33361.5,200861,
1958-02-11 01:08:00,67521,-33356.9,200858,
1958-02-11 01:09:00,67503,-33352.4,200856,
1958-02-11 01:10:00,67481.5,-33349.9,200854,
1958-02-11 01:11:00,67463.5,-33350.1,200853,
1958-02-11 01:12:00,67452.9,-33352.2,200852,
1958-02-11 01:13:00,67450.9,-33354.3,200840,
1958-02-11 01:14:00,67456.8,-33352.1,200801,
1958-02-11 01:15:00,67469.4,-33340,200758,
1958-02-11 01:16:00,67484.4,-33327.4,200743,
1958-02-11 01:17:00,67491.5,-33346.5,200734,
1958-02-11 01:18:00,67463.6,-33487.6,200722,
1958-02-11 01:19:00,67384.9,-33794.5,200712,
1958-02-11 01:20:00,67355.3,-33894.6,200712,
1958-02-11 01:21:00,67374.7,-33750.5,200713,
1958-02-11 01:22:00,67407.3,-33632,200709,
1958-02-11 01:23:00,67410.7,-33652.7,200698,
1958-02-11 01:24:00,67403.7,-33721.3,200682,
1958-02-11 01:25:00,67430.8,-33679.3,200662,
1958-02-11 01:26:00,67443.3,-33691.1,200642,
1958-02-11 01:27:00,67444.7,-33743.9,200624,
1958-02-11 01:28:00,67455.2,-33810.6,200615,
1958-02-11 01:29:00,68093.6,-34179.1,200616,
1958-02-11 01:30:00,67961.9,-34092.8,200608,
1958-02-11 01:31:00,67723.5,-34074.5,200595,
1958-02-11 01:32:00,67626,-34138.6,200578,
1958-02-11 01:33:00,67681.3,-34159.7,200553,
1958-02-11 01:34:00,67632.7,-34062.7,200523,
1958-02-11 01:35:00,67555.8,-34028.6,200507,
1958-02-11 01:36:00,67501.1,-34028.1,200508,
1958-02-11 01:37:00,67495.3,-34072.1,200503,
1958-02-11 01:38:00,67529,-34173.4,200494,
1958-02-11 01:39:00,67574.7,-34317.5,200481,
1958-02-11 01:40:00,67568,-34287.7,200431,
1958-02-11 01:41:00,67626.3,-34227.6,200378,
1958-02-11 01:42:00,67583.4,-34163.6,200338,
1958-02-11 01:43:00,67437.5,-34149.3,200308,
1958-02-11 01:44:00,67380.6,-34111.9,200286,
1958-02-11 01:45:00,67406.6,-34130,200265,
1958-02-11 01:46:00,67476.8,-34127,200235,
1958-02-11 01:47:00,67536,-34108.8,200153,
1958-02-11 01:48:00,67544.7,-34061.1,199724,
1958-02-11 01:49:00,67457.4,-33963,199395,
1958-02-11 01:50:00,67266.5,-33812,199038,
1958-02-11 01:51:00,66998.8,-33622.1,198674,
1958-02-11 01:52:00,66904.2,-33744.3,198312,
1958-02-11 01:53:00,66942.2,-33752.4,197963,
1958-02-11 01:54:00,66881.1,-33703.1,197643,
1958-02-11 01:55:00,66772,-33580.1,197429,
1958-02-11 01:56:00,66603.5,-33424.2,197806,
1958-02-11 01:57:00,66400.2,-33258.4,197934,
1958-02-11 01:58:00,66214.8,-33116,198010,
1958-02-11 01:59:00,66138.8,-33054,198116,
1958-02-11 02:00:00,66323.6,-33180.5,198255,
1958-02-11 02:01:00,65624,-33068,198413,
1958-02-11 02:02:00,64228.8,-31972.8,198581,
1958-02-11 02:03:00,64278.2,-31205.3,198754,
1958-02-11 02:04:00,64475.9,-32755,198981,
1958-02-11 02:05:00,65419.3,-32810.7,199349,
1958-02-11 02:06:00,66264.8,-33519,199202,
1958-02-11 02:07:00,67009.2,-34524.3,199320,
1958-02-11 02:08:00,67731.2,-35301.5,199198,
1958-02-11 02:09:00,68425.2,-35612,199170,
1958-02-11 02:10:00,68790.6,-36080.2,198890,
1958-02-11 02:11:00,68988,-36046.9,198628,
1958-02-11 02:12:00,68768.2,-36384.4,198699,
1958-02-11 02:13:00,68372.1,-36464,198790,
1958-02-11 02:14:00,67932.7,-36255.9,198763,
1958-02-11 02:15:00,67891.5,-36075.7,198507,
1958-02-11 02:16:00,67923.1,-35862.3,198165,
1958-02-11 02:17:00,67877.3,-35640.5,198479,
1958-02-11 02:18:00,67545,-35497.5,198323,
1958-02-11 02:19:00,67639.6,-35702.2,198335,
1958-02-11 02:20:00,67627.5,-35369.5,198320,
1958-02-11 02:21:00,67304.6,-35312.5,198116,
1958-02-11 02:22:00,67136.4,-35111.3,198419,
1958-02-11 02:23:00,67135.8,-35790.3,198332,
1958-02-11 02:24:00,67599.1,-35701.7,198149,
1958-02-11 02:25:00,66857.6,-35505.9,198424,
1958-02-11 02:26:00,67522.1,-35315.6,198276,
1958-02-11 02:27:00,66845.5,-35267.1,198494,
1958-02-11 02:28:00,67526.3,-35183,198347,
1958-02-11 02:29:00,66568.6,-34964.8,198524,
1958-02-11 02:30:00,67578,-35618.8,198529,
1958-02-11 02:31:00,66420.6,-34377.1,198447,
1958-02-11 02:32:00,66681.1,-35156.6,198542,
1958-02-11 02:33:00,66922.8,-34953.7,198689,
1958-02-11 02:34:00,66111.1,-35381.2,198739,
1958-02-11 02:35:00,66918.2,-35802.6,198747,
1958-02-11 02:36:00,66276.2,-35081,198836,
1958-02-11 02:37:00,66394.9,-35452.4,198734,
1958-02-11 02:38:00,66711.1,-35478.2,198695,
1958-02-11 02:39:00,66694,-35648.7,198788,
1958-02-11 02:40:00,67281.5,-35512,198721,
1958-02-11 02:41:00,66968.5,-35846.7,198884,
1958-02-11 02:42:00,66603.8,-35352.4,199156,
1958-02-11 02:43:00,66376.6,-35154.6,198923,
1958-02-11 02:44:00,66927.8,-35537.8,199001,
1958-02-11 02:45:00,66771.9,-35240.5,199307,
1958-02-11 02:46:00,66417.9,-34924.7,199153,
1958-02-11 02:47:00,66613.3,-34712.4,199300,
1958-02-11 02:48:00,66488.7,-34839.2,199278,
1958-02-11 02:49:00,66551.8,-34311.3,199403,
1958-02-11 02:50:00,66244.5,-34232.6,199466,
1958-02-11 02:51:00,66633.3,-34405,199247,
1958-02-11 02:52:00,66448.8,-33948.5,199388,
1958-02-11 02:53:00,65659.8,-33775.4,199514,
1958-02-11 02:54:00,65001.1,-33590.5,199355,
1958-02-11 02:55:00,65067.6,-33617,199496,
1958-02-11 02:56:00,66289.9,-33552.1,199546,
1958-02-11 02:57:00,66949.8,-34223.7,199401,
1958-02-11 02:58:00,66046.5,-33862.1,199435,
1958-02-11 02:59:00,65640.3,-32990,199597,
1958-02-11 03:00:00,66910.4,-32800,199542,
1958-02-11 03:01:00,66466.7,-32602.1,199518,
1958-02-11 03:02:00,65798.4,-32588.1,199571,
1958-02-11 03:03:00,65298.2,-32331.1,199560,
1958-02-11 03:04:00,65378.5,-31867,199532,
1958-02-11 03:05:00,66499.9,-32766.2,199626,
1958-02-11 03:06:00,66708.5,-32628.7,199622,
1958-02-11 03:07:00,66046.6,-32030.4,199589,
1958-02-11 03:08:00,66489.8,-32483.4,199652,
1958-02-11 03:09:00,66705.5,-32544.6,199715,
1958-02-11 03:10:00,65886,-31970.7,199690,
