 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-01 00:00:00.000 032        11.00
1958-02-01 01:00:00.000 032        16.00
1958-02-01 02:00:00.000 032        15.00
1958-02-01 03:00:00.000 032        16.00
1958-02-01 04:00:00.000 032        11.00
1958-02-01 05:00:00.000 032         8.00
1958-02-01 06:00:00.000 032         6.00
1958-02-01 07:00:00.000 032         7.00
1958-02-01 08:00:00.000 032         6.00
1958-02-01 09:00:00.000 032         8.00
1958-02-01 10:00:00.000 032        10.00
1958-02-01 11:00:00.000 032        14.00
1958-02-01 12:00:00.000 032        12.00
1958-02-01 13:00:00.000 032         5.00
1958-02-01 14:00:00.000 032         7.00
1958-02-01 15:00:00.000 032         7.00
1958-02-01 16:00:00.000 032         8.00
1958-02-01 17:00:00.000 032         8.00
1958-02-01 18:00:00.000 032         7.00
1958-02-01 19:00:00.000 032         5.00
1958-02-01 20:00:00.000 032         8.00
1958-02-01 21:00:00.000 032         8.00
1958-02-01 22:00:00.000 032         8.00
1958-02-01 23:00:00.000 032        13.00
1958-02-02 00:00:00.000 033        18.00
1958-02-02 01:00:00.000 033        18.00
1958-02-02 02:00:00.000 033        18.00
1958-02-02 03:00:00.000 033        15.00
1958-02-02 04:00:00.000 033        11.00
1958-02-02 05:00:00.000 033        11.00
1958-02-02 06:00:00.000 033         6.00
1958-02-02 07:00:00.000 033         3.00
1958-02-02 08:00:00.000 033         4.00
1958-02-02 09:00:00.000 033         3.00
1958-02-02 10:00:00.000 033        -1.00
1958-02-02 11:00:00.000 033         6.00
1958-02-02 12:00:00.000 033        10.00
1958-02-02 13:00:00.000 033        11.00
1958-02-02 14:00:00.000 033        11.00
1958-02-02 15:00:00.000 033        10.00
1958-02-02 16:00:00.000 033        10.00
1958-02-02 17:00:00.000 033         7.00
1958-02-02 18:00:00.000 033         4.00
1958-02-02 19:00:00.000 033         4.00
1958-02-02 20:00:00.000 033         4.00
1958-02-02 21:00:00.000 033         6.00
1958-02-02 22:00:00.000 033         8.00
1958-02-02 23:00:00.000 033        11.00
1958-02-03 00:00:00.000 034        13.00
1958-02-03 01:00:00.000 034        15.00
1958-02-03 02:00:00.000 034        15.00
1958-02-03 03:00:00.000 034        14.00
1958-02-03 04:00:00.000 034         8.00
1958-02-03 05:00:00.000 034         8.00
1958-02-03 06:00:00.000 034         8.00
1958-02-03 07:00:00.000 034         9.00
1958-02-03 08:00:00.000 034        12.00
1958-02-03 09:00:00.000 034        17.00
1958-02-03 10:00:00.000 034        20.00
1958-02-03 11:00:00.000 034        22.00
1958-02-03 12:00:00.000 034        22.00
1958-02-03 13:00:00.000 034        21.00
1958-02-03 14:00:00.000 034        23.00
1958-02-03 15:00:00.000 034        24.00
1958-02-03 16:00:00.000 034        22.00
1958-02-03 17:00:00.000 034        19.00
1958-02-03 18:00:00.000 034        17.00
1958-02-03 19:00:00.000 034        18.00
1958-02-03 20:00:00.000 034        21.00
1958-02-03 21:00:00.000 034        23.00
1958-02-03 22:00:00.000 034        20.00
1958-02-03 23:00:00.000 034        16.00
1958-02-04 00:00:00.000 035        20.00
1958-02-04 01:00:00.000 035        28.00
1958-02-04 02:00:00.000 035        32.00
1958-02-04 03:00:00.000 035        29.00
1958-02-04 04:00:00.000 035        26.00
1958-02-04 05:00:00.000 035        27.00
1958-02-04 06:00:00.000 035        14.00
1958-02-04 07:00:00.000 035        12.00
1958-02-04 08:00:00.000 035        10.00
1958-02-04 09:00:00.000 035        15.00
1958-02-04 10:00:00.000 035        13.00
1958-02-04 11:00:00.000 035        10.00
1958-02-04 12:00:00.000 035        14.00
1958-02-04 13:00:00.000 035        28.00
1958-02-04 14:00:00.000 035        13.00
1958-02-04 15:00:00.000 035         8.00
1958-02-04 16:00:00.000 035        11.00
1958-02-04 17:00:00.000 035         6.00
1958-02-04 18:00:00.000 035        18.00
1958-02-04 19:00:00.000 035        -3.00
1958-02-04 20:00:00.000 035       -17.00
1958-02-04 21:00:00.000 035       -24.00
1958-02-04 22:00:00.000 035       -26.00
1958-02-04 23:00:00.000 035       -23.00
1958-02-05 00:00:00.000 036       -19.00
1958-02-05 01:00:00.000 036       -23.00
1958-02-05 02:00:00.000 036       -23.00
1958-02-05 03:00:00.000 036       -20.00
1958-02-05 04:00:00.000 036       -17.00
1958-02-05 05:00:00.000 036       -12.00
1958-02-05 06:00:00.000 036       -23.00
1958-02-05 07:00:00.000 036       -31.00
1958-02-05 08:00:00.000 036       -23.00
1958-02-05 09:00:00.000 036       -14.00
1958-02-05 10:00:00.000 036       -18.00
1958-02-05 11:00:00.000 036       -22.00
1958-02-05 12:00:00.000 036       -21.00
1958-02-05 13:00:00.000 036       -20.00
1958-02-05 14:00:00.000 036        -8.00
1958-02-05 15:00:00.000 036       -11.00
1958-02-05 16:00:00.000 036       -15.00
1958-02-05 17:00:00.000 036       -21.00
1958-02-05 18:00:00.000 036       -20.00
1958-02-05 19:00:00.000 036       -14.00
1958-02-05 20:00:00.000 036       -20.00
1958-02-05 21:00:00.000 036       -33.00
1958-02-05 22:00:00.000 036       -33.00
1958-02-05 23:00:00.000 036       -23.00
1958-02-06 00:00:00.000 037       -20.00
1958-02-06 01:00:00.000 037       -25.00
1958-02-06 02:00:00.000 037       -23.00
1958-02-06 03:00:00.000 037       -20.00
1958-02-06 04:00:00.000 037       -26.00
1958-02-06 05:00:00.000 037       -33.00
1958-02-06 06:00:00.000 037       -36.00
1958-02-06 07:00:00.000 037       -40.00
1958-02-06 08:00:00.000 037       -39.00
1958-02-06 09:00:00.000 037       -36.00
