Date,Z,F,X,Y
1958-02-10 23:58:00,140505,,50861.1,-9681.74
1958-02-10 23:59:00,140507,,50860.1,-9680.92
1958-02-11 00:00:00,140507,,50853.8,-9684.95
1958-02-11 00:01:00,140506,,50844.4,-9681.78
1958-02-11 00:02:00,140505,,50832.7,-9671.72
1958-02-11 00:03:00,140506,,50819.5,-9660.48
1958-02-11 00:04:00,140507,,50806.4,-9651.11
1958-02-11 00:05:00,140509,,50793.8,-9648.71
1958-02-11 00:06:00,140510,,50781.3,-9654.44
1958-02-11 00:07:00,140510,,50771.1,-9656.48
1958-02-11 00:08:00,140510,,50763.8,-9652.2
1958-02-11 00:09:00,140509,,50759.2,-9644.88
1958-02-11 00:10:00,140509,,50757,-9636.98
1958-02-11 00:11:00,140509,,50757.9,-9629.5
1958-02-11 00:12:00,140509,,50762.9,-9623.25
1958-02-11 00:13:00,140510,,50772.1,-9619.64
1958-02-11 00:14:00,140511,,50784.7,-9619.59
1958-02-11 00:15:00,140512,,50798.7,-9624.07
1958-02-11 00:16:00,140513,,50809.2,-9631.88
1958-02-11 00:17:00,140514,,50807,-9636.98
1958-02-11 00:18:00,140516,,50794.7,-9628.98
1958-02-11 00:19:00,140516,,50783.7,-9629.5
1958-02-11 00:20:00,140517,,50783.8,-9632.28
1958-02-11 00:21:00,140515,,50792.3,-9631.9
1958-02-11 00:22:00,140513,,50804.3,-9629.73
1958-02-11 00:23:00,140512,,50816.8,-9627.05
1958-02-11 00:24:00,140511,,50826.9,-9624.51
1958-02-11 00:25:00,140512,,50829,-9622.16
1958-02-11 00:26:00,140513,,50821.8,-9621.56
1958-02-11 00:27:00,140514,,50819.6,-9625.12
1958-02-11 00:28:00,140514,,50829,-9632.11
1958-02-11 00:29:00,140514,,50832.6,-9635.25
1958-02-11 00:30:00,140513,,50823.5,-9630.91
1958-02-11 00:31:00,140511,,50812.5,-9624.54
1958-02-11 00:32:00,140512,,50807.8,-9621.2
1958-02-11 00:33:00,140512,,50811,-9625.02
1958-02-11 00:34:00,140513,,50819.5,-9633.22
1958-02-11 00:35:00,140514,,50830.5,-9639.75
1958-02-11 00:36:00,140515,,50841.7,-9641.87
1958-02-11 00:37:00,140516,,50849.6,-9639.07
1958-02-11 00:38:00,140517,,50848.5,-9632.43
1958-02-11 00:39:00,140517,,50839.3,-9623.35
1958-02-11 00:40:00,140517,,50832.9,-9614.63
1958-02-11 00:41:00,140516,,50839.6,-9609.91
1958-02-11 00:42:00,140515,,50853.8,-9610.77
