Date,Z,F,X,Y
1958-02-10 23:58:00,165105,,58666.4,-6776.69
1958-02-10 23:59:00,165105,,58665.3,-6777.44
1958-02-11 00:00:00,165105,,58664.3,-6778.01
1958-02-11 00:01:00,165105,,58663.4,-6778.42
1958-02-11 00:02:00,165104,,58662.5,-6778.49
1958-02-11 00:03:00,165104,,58661.9,-6778.42
1958-02-11 00:04:00,165104,,58661.5,-6778.02
1958-02-11 00:05:00,165104,,58661.4,-6777.5
1958-02-11 00:06:00,165103,,58661.7,-6776.84
1958-02-11 00:07:00,165103,,58662.5,-6776.25
1958-02-11 00:08:00,165103,,58664,-6775.55
1958-02-11 00:09:00,165103,,58666.1,-6774.76
1958-02-11 00:10:00,165103,,58668.9,-6773.87
1958-02-11 00:11:00,165102,,58672.1,-6773.03
1958-02-11 00:12:00,165102,,58675.6,-6772.22
1958-02-11 00:13:00,165102,,58679.1,-6771.42
1958-02-11 00:14:00,165102,,58682.6,-6770.61
1958-02-11 00:15:00,165102,,58686,-6769.96
1958-02-11 00:16:00,165102,,58689,-6769.27
1958-02-11 00:17:00,165102,,58691.8,-6768.73
1958-02-11 00:18:00,165102,,58694,-6768.29
1958-02-11 00:19:00,165102,,58695.7,-6767.96
1958-02-11 00:20:00,165102,,58696.4,-6767.71
1958-02-11 00:21:00,165102,,58696,-6767.48
1958-02-11 00:22:00,165102,,58693.6,-6767.21
1958-02-11 00:23:00,165102,,58689.3,-6767.05
1958-02-11 00:24:00,165102,,58683.2,-6766.7
1958-02-11 00:25:00,165102,,58677.5,-6766.9
1958-02-11 00:26:00,165103,,58677,-6767.89
1958-02-11 00:27:00,165103,,58684.5,-6769.96
1958-02-11 00:28:00,165103,,58693.6,-6772.74
1958-02-11 00:29:00,165103,,58697.5,-6775.27
1958-02-11 00:30:00,165104,,58694.6,-6777.36
1958-02-11 00:31:00,165104,,58688.7,-6779.1
1958-02-11 00:32:00,165105,,58682.5,-6780.8
1958-02-11 00:33:00,165105,,58678.8,-6782.45
1958-02-11 00:34:00,165105,,58679.6,-6784.27
1958-02-11 00:35:00,165106,,58683.4,-6785.75
1958-02-11 00:36:00,165106,,58687.5,-6786.4
1958-02-11 00:37:00,165107,,58689.7,-6786.13
1958-02-11 00:38:00,165108,,58689.3,-6784.53
1958-02-11 00:39:00,165108,,58687.1,-6782.02
1958-02-11 00:40:00,165109,,58683.8,-6778.71
1958-02-11 00:41:00,165110,,58679.9,-6774.97
1958-02-11 00:42:00,165110,,58675.9,-6770.69
1958-02-11 00:43:00,165111,,58671.7,-6766.41
1958-02-11 00:44:00,165112,,58667.6,-6761.96
1958-02-11 00:45:00,165113,,58663.7,-6757.36
1958-02-11 00:46:00,165113,,58660.1,-6752.97
1958-02-11 00:47:00,165114,,58656.9,-6748.8
1958-02-11 00:48:00,165115,,58654.4,-6745.05
1958-02-11 00:49:00,165116,,58652.8,-6741.58
1958-02-11 00:50:00,165117,,58652.9,-6738.83
1958-02-11 00:51:00,165117,,58657,-6737.05
1958-02-11 00:52:00,165118,,58667.5,-6736.53
1958-02-11 00:53:00,165119,,58677.9,-6736.34
1958-02-11 00:54:00,165120,,58680.6,-6735.44
1958-02-11 00:55:00,165120,,58679.2,-6734.59
1958-02-11 00:56:00,165121,,58676.3,-6733.56
1958-02-11 00:57:00,165122,,58672.8,-6732.64
1958-02-11 00:58:00,165122,,58669.4,-6731.74
1958-02-11 00:59:00,165123,,58667.5,-6730.99
1958-02-11 01:00:00,165123,,58670.6,-6730.49
1958-02-11 01:01:00,165124,,58678.2,-6730.33
1958-02-11 01:02:00,165124,,58677.4,-6729.19
1958-02-11 01:03:00,165125,,58673.6,-6727.55
1958-02-11 01:04:00,165125,,58670.3,-6726.13
1958-02-11 01:05:00,165125,,58668.5,-6724.89
1958-02-11 01:06:00,165125,,58668.7,-6724.04
1958-02-11 01:07:00,165125,,58670.9,-6723.6
1958-02-11 01:08:00,165125,,58674.2,-6723.81
1958-02-11 01:09:00,165125,,58677.6,-6724.38
1958-02-11 01:10:00,165124,,58680.6,-6725.4
1958-02-11 01:11:00,165123,,58682.4,-6726.83
1958-02-11 01:12:00,165122,,58682.8,-6728.26
1958-02-11 01:13:00,165121,,58681.5,-6729.31
1958-02-11 01:14:00,165119,,58679.2,-6729.75
1958-02-11 01:15:00,165117,,58678,-6728.91
1958-02-11 01:16:00,165114,,58679.8,-6726.53
1958-02-11 01:17:00,165109,,58687.8,-6721.73
1958-02-11 01:18:00,165104,,58707.5,-6713.44
1958-02-11 01:19:00,165096,,58755.9,-6699.93
1958-02-11 01:20:00,165083,,58934.9,-6683.17
1958-02-11 01:21:00,165057,,59075.4,-6606.36
1958-02-11 01:22:00,165044,,59026.1,-6427.23
1958-02-11 01:23:00,165056,,58947.2,-6492.04
1958-02-11 01:24:00,165069,,58888.7,-6553.05
1958-02-11 01:25:00,165081,,58855.6,-6590.28
1958-02-11 01:26:00,165091,,58841.7,-6609.51
1958-02-11 01:27:00,165097,,58843.9,-6616
1958-02-11 01:28:00,165099,,58864,-6611.32
1958-02-11 01:29:00,165095,,58908.5,-6594.28
1958-02-11 01:30:00,165088,,58962.1,-6569.37
1958-02-11 01:31:00,165077,,59007.4,-6553.91
1958-02-11 01:32:00,165065,,59038.9,-6558.47
1958-02-11 01:33:00,165055,,59049.2,-6574.73
1958-02-11 01:34:00,165057,,59017.5,-6590.5
