Date,Z,F,X,Y
1958-02-11 00:00:00,43469.5,,18335.2,-3325.12
1958-02-11 00:01:00,43468.5,,18334,-3326.45
1958-02-11 00:02:00,43467.9,,18331.2,-3326.87
1958-02-11 00:03:00,43468.2,,18328.7,-3326.43
1958-02-11 00:04:00,43469.4,,18327.4,-3325.14
1958-02-11 00:05:00,43471,,18327.7,-3323.48
1958-02-11 00:06:00,43472.5,,18329.3,-3321.8
1958-02-11 00:07:00,43473.3,,18331.5,-3320.49
1958-02-11 00:08:00,43473.1,,18333.4,-3320.35
1958-02-11 00:09:00,43472.2,,18334.2,-3322.25
1958-02-11 00:10:00,43471.2,,18333.4,-3324.02
1958-02-11 00:11:00,43470.6,,18331.5,-3324.02
1958-02-11 00:12:00,43471.4,,18329.4,-3322.71
1958-02-11 00:13:00,43473.4,,18328.4,-3320.97
1958-02-11 00:14:00,43475.5,,18329.6,-3319.44
1958-02-11 00:15:00,43476.2,,18332.5,-3318.19
1958-02-11 00:16:00,43475.3,,18335,-3317.05
1958-02-11 00:17:00,43474.2,,18335.2,-3316.21
1958-02-11 00:18:00,43473.4,,18333.7,-3316.54
1958-02-11 00:19:00,43473,,18332.1,-3318.29
1958-02-11 00:20:00,43473,,18333,-3318.51
1958-02-11 00:21:00,43473.4,,18335.8,-3317.69
1958-02-11 00:22:00,43474,,18337.4,-3317.43
1958-02-11 00:23:00,43474.7,,18336.2,-3318.27
1958-02-11 00:24:00,43475.4,,18334.2,-3317.79
1958-02-11 00:25:00,43476.2,,18332.8,-3316.27
1958-02-11 00:26:00,43476.8,,18332.9,-3314.8
1958-02-11 00:27:00,43477.4,,18335.1,-3313.93
1958-02-11 00:28:00,43477.8,,18338.2,-3313.66
1958-02-11 00:29:00,43477.8,,18340.8,-3314.13
1958-02-11 00:30:00,43477.2,,18341.5,-3315.2
1958-02-11 00:31:00,43476.3,,18340.2,-3316.29
1958-02-11 00:32:00,43474.9,,18338,-3316.94
1958-02-11 00:33:00,43474.2,,18336.4,-3316.32
1958-02-11 00:34:00,43476,,18337.1,-3314.78
1958-02-11 00:35:00,43477.5,,18340,-3313.82
1958-02-11 00:36:00,43476.9,,18342.7,-3314.25
1958-02-11 00:37:00,43475.9,,18343.8,-3315.78
1958-02-11 00:38:00,43475.1,,18343.5,-3317.32
1958-02-11 00:39:00,43474.7,,18342.5,-3318.13
1958-02-11 00:40:00,43474.7,,18341.3,-3317.64
1958-02-11 00:41:00,43475.2,,18340.1,-3316.38
1958-02-11 00:42:00,43475.9,,18339,-3314.96
1958-02-11 00:43:00,43476.7,,18338,-3313.91
1958-02-11 00:44:00,43477.4,,18337.4,-3313.68
1958-02-11 00:45:00,43478.1,,18337.3,-3313.78
1958-02-11 00:46:00,43478.7,,18338.1,-3313.81
1958-02-11 00:47:00,43479,,18339.5,-3312.91
1958-02-11 00:48:00,43479.1,,18341.4,-3310.77
1958-02-11 00:49:00,43478.9,,18343.3,-3308.69
1958-02-11 00:50:00,43478.4,,18344.9,-3307.49
1958-02-11 00:51:00,43477.7,,18346.1,-3307.31
1958-02-11 00:52:00,43476.8,,18346.9,-3307.9
1958-02-11 00:53:00,43475.9,,18347.4,-3309
1958-02-11 00:54:00,43474.9,,18347.8,-3310.39
1958-02-11 00:55:00,43474.2,,18348.1,-3311.86
1958-02-11 00:56:00,43474.1,,18348.2,-3313.43
1958-02-11 00:57:00,43475.4,,18348.2,-3314.86
1958-02-11 00:58:00,43476.2,,18348.1,-3315.95
1958-02-11 00:59:00,43475.3,,18348.2,-3315.31
1958-02-11 01:00:00,43473.9,,18348.4,-3312.48
1958-02-11 01:01:00,43472.6,,18347.5,-3313.09
1958-02-11 01:02:00,43471.6,,18345.5,-3314.21
1958-02-11 01:03:00,43471.4,,18342.7,-3315.41
1958-02-11 01:04:00,43472.6,,18341.7,-3316.94
1958-02-11 01:05:00,43474.7,,18342.1,-3316.52
1958-02-11 01:06:00,43476.3,,18343.2,-3314.73
1958-02-11 01:07:00,43476.5,,18344.3,-3313.39
1958-02-11 01:08:00,43475.8,,18345.6,-3312.29
1958-02-11 01:09:00,43474.7,,18346.8,-3311.36
1958-02-11 01:10:00,43473.8,,18348,-3310.59
1958-02-11 01:11:00,43474.6,,18349.2,-3309.98
1958-02-11 01:12:00,43476.6,,18350.3,-3309.57
1958-02-11 01:13:00,43475.8,,18350.9,-3309.3
1958-02-11 01:14:00,43474.3,,18348.6,-3308.65
1958-02-11 01:15:00,43473,,18347.7,-3308.61
1958-02-11 01:16:00,43472.8,,18348,-3309.1
1958-02-11 01:17:00,43475.1,,18349.3,-3310.16
1958-02-11 01:18:00,43472.7,,18352,-3312.03
1958-02-11 01:19:00,43470.9,,18356.7,-3314.86
1958-02-11 01:20:00,43477.7,,18364.8,-3319.36
1958-02-11 01:21:00,43493.3,,18383.6,-3327.44
1958-02-11 01:22:00,43478.3,,18610.2,-3376.62
1958-02-11 01:23:00,43453.7,,18603.1,-3391.93
1958-02-11 01:24:00,43460,,18583.4,-3431.42
1958-02-11 01:25:00,43458.1,,18572.4,-3414.25
1958-02-11 01:26:00,43451.7,,18560.6,-3399.87
