Date,X,Y,Z,F
1958-02-10 23:58:00,32578.6,-18327,99713.5,
1958-02-10 23:59:00,32577.9,-18326.2,99714.5,
1958-02-11 00:00:00,32573.4,-18327.7,99714.6,
1958-02-11 00:01:00,32567.5,-18323.3,99713.8,
1958-02-11 00:02:00,32560.8,-18313.5,99713.2,
1958-02-11 00:03:00,32553.3,-18302.5,99713.6,
1958-02-11 00:04:00,32545.7,-18292.9,99714.8,
1958-02-11 00:05:00,32537.6,-18288.3,99716,
1958-02-11 00:06:00,32528.7,-18289.6,99716.9,
1958-02-11 00:07:00,32521.7,-18288.8,99717,
1958-02-11 00:08:00,32517.4,-18284.1,99716.7,
1958-02-11 00:09:00,32515.1,-18277.8,99716.1,
1958-02-11 00:10:00,32514.5,-18271.7,99715.9,
1958-02-11 00:11:00,32515.9,-18266.6,99715.9,
1958-02-11 00:12:00,32519.8,-18263.2,99716.3,
1958-02-11 00:13:00,32526.3,-18262.7,99716.8,
1958-02-11 00:14:00,32534.6,-18265.5,99717.4,
1958-02-11 00:15:00,32543.4,-18271.9,99718.2,
1958-02-11 00:16:00,32549.5,-18279.8,99719,
1958-02-11 00:17:00,32547.5,-18282.9,99719.9,
1958-02-11 00:18:00,32540.2,-18274.4,99720.7,
1958-02-11 00:19:00,32532.9,-18272.4,99721.4,
1958-02-11 00:20:00,32532.7,-18274.4,99721.6,
1958-02-11 00:21:00,32538.4,-18276,99720.7,
1958-02-11 00:22:00,32546.5,-18277.2,99718.9,
1958-02-11 00:23:00,32555.1,-18278.1,99717.9,
1958-02-11 00:24:00,32562,-18278.5,99717.8,
1958-02-11 00:25:00,32563.6,-18277.3,99718.2,
1958-02-11 00:26:00,32558.9,-18275.2,99718.9,
1958-02-11 00:27:00,32557.1,-18277.3,99719.5,
1958-02-11 00:28:00,32562.6,-18284.4,99720,
1958-02-11 00:29:00,32564.6,-18287.4,99719.8,
1958-02-11 00:30:00,32559,-18282.3,99718.7,
1958-02-11 00:31:00,32552.5,-18275.3,99717.8,
1958-02-11 00:32:00,32549.7,-18271.8,99717.9,
1958-02-11 00:33:00,32551.4,-18275.3,99718.4,
1958-02-11 00:34:00,32556.2,-18283,99719.1,
1958-02-11 00:35:00,32562.8,-18290.2,99719.8,
1958-02-11 00:36:00,32569.9,-18294.2,99720.6,
1958-02-11 00:37:00,32575.4,-18294,99721.3,
1958-02-11 00:38:00,32575.4,-18289,99721.8,
1958-02-11 00:39:00,32570.3,-18280.5,99721.9,
1958-02-11 00:40:00,32567,-18272.8,99721.7,
1958-02-11 00:41:00,32571.9,-18270.9,99721.1,
1958-02-11 00:42:00,32581.2,-18274.7,99720.2,
1958-02-11 00:43:00,32589.4,-18280.9,99719.1,
1958-02-11 00:44:00,32595.4,-18282,99717.9,
1958-02-11 00:45:00,32597.7,-18277.1,99716.7,
1958-02-11 00:46:00,32594.8,-18270.2,99715.5,
1958-02-11 00:47:00,32588.3,-18263.7,99714.3,
1958-02-11 00:48:00,32579.7,-18259,99713.2,
1958-02-11 00:49:00,32570.5,-18256.9,99712.2,
1958-02-11 00:50:00,32562.7,-18257.5,99711.4,
1958-02-11 00:51:00,32559.2,-18261.7,99710.9,
1958-02-11 00:52:00,32562.1,-18270,99710.6,
1958-02-11 00:53:00,32570.6,-18281.3,99710.6,
1958-02-11 00:54:00,32581.1,-18291.7,99710.8,
1958-02-11 00:55:00,32586.6,-18291.1,99711.1,
1958-02-11 00:56:00,32583.5,-18289.6,99711.5,
1958-02-11 00:57:00,32578.8,-18291.6,99711.9,
