Date,X,Y,Z,F
1958-02-10 23:58:00,42449.1,-32789.5,143085,
1958-02-10 23:59:00,42448.4,-32788.2,143086,
1958-02-11 00:00:00,42441.6,-32789.3,143086,
1958-02-11 00:01:00,42434.2,-32781.9,143085,
1958-02-11 00:02:00,42426.7,-32766.6,143084,
1958-02-11 00:03:00,42418.3,-32749.4,143085,
1958-02-11 00:04:00,42409.5,-32734.2,143087,
1958-02-11 00:05:00,42398.9,-32726,143088,
1958-02-11 00:06:00,42386,-32726,143090,
1958-02-11 00:07:00,42376.3,-32723.4,143090,
1958-02-11 00:08:00,42371.2,-32715.8,143089,
1958-02-11 00:09:00,42369.2,-32706.4,143089,
1958-02-11 00:10:00,42369.6,-32697.6,143088,
1958-02-11 00:11:00,42372.6,-32690.6,143088,
1958-02-11 00:12:00,42378.9,-32686.7,143089,
1958-02-11 00:13:00,42388.2,-32687.3,143089,
1958-02-11 00:14:00,42399.5,-32693,143090,
1958-02-11 00:15:00,42410.6,-32703.8,143092,
1958-02-11 00:16:00,42417.7,-32716.4,143093,
1958-02-11 00:17:00,42414.2,-32720.4,143094,
1958-02-11 00:18:00,42405.6,-32706.9,143095,
1958-02-11 00:19:00,42395.7,-32702.4,143096,
1958-02-11 00:20:00,42394.9,-32705.2,143096,
1958-02-11 00:21:00,42402.6,-32708.7,143095,
1958-02-11 00:22:00,42413.9,-32712,143093,
1958-02-11 00:23:00,42425.9,-32715.1,143091,
1958-02-11 00:24:00,42435.6,-32717.1,143091,
1958-02-11 00:25:00,42438.2,-32715.8,143092,
1958-02-11 00:26:00,42432,-32711.9,143092,
1958-02-11 00:27:00,42428.9,-32714.4,143093,
1958-02-11 00:28:00,42435.2,-32725.6,143094,
1958-02-11 00:29:00,42437.5,-32730.4,143094,
1958-02-11 00:30:00,42430.7,-32721.9,143092,
1958-02-11 00:31:00,42422.8,-32710.6,143091,
1958-02-11 00:32:00,42419.6,-32705.1,143091,
1958-02-11 00:33:00,42421.3,-32710.4,143092,
1958-02-11 00:34:00,42426.4,-32722.4,143093,
1958-02-11 00:35:00,42434.3,-32733.9,143094,
1958-02-11 00:36:00,42443.6,-32741.1,143095,
1958-02-11 00:37:00,42451.5,-32741.9,143096,
1958-02-11 00:38:00,42452.5,-32734.8,143097,
1958-02-11 00:39:00,42447.1,-32721.7,143097,
