Time,V(v),E.Y,E.Y.00,E.Y.00.left,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.Y.08.right,E.X,E.X.00,E.X.00.left,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,E.X.08.right,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,Vt(v),U0,U1
1958-02-10 23:58:00,-26.3247,-14.886,2.13504,4.84047,0.976376,-0.111129,-0.42667,-0.632966,-1.38632,-4.31106,-2.99293,-8.1364,-7.27643,-193.118,-51.555,-37.7883,-20.5914,-9.99168,-6.65887,-13.2066,-9.35523,-28.3659,-10.6404,-42.7527,-37.1576,-11.0563,-1.39625,-0.385808,-1.81126,-0.668609,-2.51463,-3.5859,-1.47057,-3.43543,-12.7647,8.1,-5.46
1958-02-10 23:59:00,-25.8038,-19.1599,1.46727,-3.55049,1.21189,0.438003,0.203838,-0.117835,-0.77809,-3.77254,-2.37887,-15.4336,-15.868,-187.458,-49.2004,-38.8937,-20.2427,-9.69265,-6.37208,-12.9169,-9.13433,-27.8311,-10.4901,-41.5776,-35.7818,-10.6764,-1.33688,-0.335597,-1.27136,-0.520215,-1.99063,-3.36237,-1.2458,-5.06448,-13.7538,6.81,-5.24
1958-02-11 00:00:00,-22.9753,-8.58744,3.48885,5.98198,1.40998,0.135062,-0.246527,-0.302419,-1.11786,-3.47087,-2.64553,-5.83813,-4.43605,-181.078,-45.9488,-32.7894,-19.9222,-9.77063,-6.53857,-12.8864,-9.18307,-27.3623,-10.4651,-39.0011,-32.804,-9.50606,-1.28489,-0.360007,-1.64842,-0.568305,-2.27221,-3.22454,-1.33999,-2.77091,-10.5653,7.24,-5.17
1958-02-11 00:01:00,-22.6067,-12.7926,2.79904,-1.97311,1.63503,0.652767,0.346212,0.18414,-0.543661,-2.96556,-2.06418,-12.8364,-12.7849,-176.349,-44.053,-34.3434,-19.5997,-9.48512,-6.26285,-12.6125,-8.9717,-26.8713,-10.3216,-38.1715,-31.9646,-9.23361,-1.22895,-0.312534,-1.1395,-0.428135,-1.7771,-3.0156,-1.12715,-4.34416,-11.6267,6.05,-4.93
1958-02-11 00:02:00,-20.0201,-2.9043,4.64619,6.9236,1.82504,0.37027,-0.0757908,0.0126258,-0.863099,-2.68306,-2.31652,-3.81997,-2.1232,-170.698,-41.2345,-28.7758,-19.303,-9.5676,-6.43004,-12.5926,-9.02698,-26.4433,-10.3068,-35.7931,-29.3185,-8.1983,-1.17989,-0.335666,-1.49532,-0.473137,-2.04325,-2.88734,-1.21662,-2.19055,-8.68008,6.48,-4.86
1958-02-11 00:03:00,-19.7899,-7.12521,3.93264,-0.722594,2.04122,0.864887,0.489509,0.478092,-0.31304,-2.20476,-1.75783,-10.6559,-10.3527,-166.769,-39.7222,-30.7503,-19.0024,-9.28901,-6.15817,-12.3287,-8.81961,-25.9886,-10.166,-35.2946,-28.9496,-8.01679,-1.12684,-0.29009,-1.00795,-0.33897,-1.56823,-2.69032,-1.01197,-3.73878,-9.78993,5.36,-4.64
1958-02-11 00:04:00,-17.3818,2.29797,5.65089,7.73715,2.22392,0.595376,0.0861765,0.313831,-0.620857,-1.94041,-2.00416,-2.00679,-0.176795,-161.663,-37.2389,-25.4893,-18.7265,-9.38063,-6.33235,-12.3215,-8.885,-25.5966,-10.1632,-33.0186,-26.4803,-7.08471,-1.08037,-0.312647,-1.35125,-0.382522,-1.8265,-2.57094,-1.09975,-1.6731,-7.01179,5.8,-4.57
1958-02-11 00:05:00,-17.29,-2.05638,4.90453,0.256533,2.43249,1.07532,0.634467,0.765681,-0.0847234,-1.48384,-1.45756,-8.84275,-8.45476,-158.458,-36.0601,-27.9171,-18.4447,-9.10159,-6.05599,-12.0613,-8.67543,-25.1724,-10.0207,-32.8653,-26.566,-6.98495,-1.02979,-0.268094,-0.875722,-0.252128,-1.36239,-2.38361,-0.899339,-3.234,-8.20003,4.74,-4.35
1958-02-11 00:06:00,-14.9981,7.14058,6.53811,8.49222,2.6082,0.810055,0.238661,0.601506,-0.39155,-1.2381,-1.70861,-0.317686,1.54905,-153.727,-33.8255,-22.7203,-18.1875,-9.20946,-6.2462,-12.0714,-8.75673,-24.8137,-10.0334,-30.5826,-24.1151,-6.12704,-0.985709,-0.290965,-1.21693,-0.296311,-1.62223,-2.27306,-0.989387,-1.19652,-5.48814,5.21,-4.3
1958-02-11 00:07:00,-15.0658,2.4529,5.73683,0.971752,2.81035,1.28629,0.783492,1.04946,0.144383,-0.797564,-1.15951,-7.40084,-7.05732,-151.229,-32.9579,-25.7363,-17.9218,-8.91897,-5.95264,-11.8063,-8.53567,-24.4145,-9.88237,-30.8388,-24.7115,-6.10887,-0.93724,-0.246241,-0.740157,-0.166769,-1.15658,-2.09305,-0.787771,-2.82911,-6.82579,4.16,-4.08
1958-02-11 00:08:00,-12.8087,11.7786,7.3431,9.29345,2.97887,1.01141,0.377916,0.873488,-0.178984,-0.573513,-1.43384,1.38012,3.24838,-146.666,-30.877,-20.25,-17.6823,-9.05712,-6.17595,-11.8435,-8.64469,-24.0884,-9.91868,-28.378,-22.0536,-5.29131,-0.895497,-0.270939,-1.09614,-0.215125,-1.43391,-1.99233,-0.887017,-0.726441,-4.0687,4.7,-4.04
1958-02-11 00:09:00,-13.1077,6.31456,6.42999,1.32486,3.17641,1.50455,0.94448,1.33593,0.383275,-0.139847,-0.853338,-6.46688,-6.30212,-144.988,-30.3483,-24.2506,-17.4295,-8.73194,-5.83805,-11.5555,-8.39224,-23.7068,-9.74481,-29.2413,-23.3871,-5.37346,-0.848641,-0.223706,-0.593049,-0.080854,-0.942316,-1.81599,-0.673332,-2.55639,-5.69773,3.61,-3.8
