Time,V(v),E.Y,E.Y.00,E.Y.00.left,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.Y.08.right,E.X,E.X.00,E.X.00.left,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,E.X.08.right,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,Vt(v),U0,U1
1958-02-10 23:58:00,-33.2553,-24.3584,2.24491,5.0751,1.04512,-0.119308,-0.516548,-0.798551,-1.95707,-6.40348,-4.68376,-13.1697,-11.7785,-252.726,-53.948,-39.5384,-22.0614,-10.8321,-8.06104,-16.628,-13.2115,-42.1369,-16.6462,-69.2007,-60.1456,-11.5671,-1.49607,-0.418175,-2.19269,-0.842252,-3.55061,-5.3266,-2.30115,-5.56066,-16.9053,9.52,-6.83
1958-02-10 23:59:00,-33.1123,-31.9866,1.54461,-3.71008,1.29751,0.47572,0.2463,-0.149853,-1.09858,-5.60362,-3.7226,-24.9761,-25.6791,-245.6,-51.4857,-40.7044,-21.6879,-10.5079,-7.71435,-16.2632,-12.8999,-41.3425,-16.4111,-67.2878,-57.9058,-11.1703,-1.43244,-0.363763,-1.53952,-0.655383,-2.81103,-4.99459,-1.94934,-8.19594,-18.5023,8.09,-6.52
1958-02-11 00:00:00,-29.0039,-15.6871,3.65982,6.26821,1.50978,0.147414,-0.29842,-0.382208,-1.57803,-5.15552,-4.14014,-9.44981,-7.18111,-237.274,-48.0817,-34.3074,-21.3444,-10.5925,-7.91541,-16.2248,-12.9684,-40.646,-16.3721,-63.1287,-53.0996,-9.94535,-1.37675,-0.390218,-1.99552,-0.715918,-3.20834,-4.78984,-2.09683,-4.4851,-13.9739,8.52,-6.51
1958-02-11 00:01:00,-29.0187,-23.1308,2.93654,-2.06129,1.75095,0.708423,0.418684,0.230534,-0.767585,-4.40498,-3.23008,-20.7733,-20.6898,-231.352,-46.0995,-35.943,-20.9988,-10.2829,-7.58216,-15.88,-12.6702,-39.9165,-16.1475,-61.7742,-51.727,-9.66091,-1.31679,-0.338769,-1.37988,-0.539399,-2.50955,-4.47949,-1.76365,-7.03022,-15.6187,7.21,-6.19
1958-02-11 00:02:00,-25.2351,-7.86313,4.86946,7.25257,1.95457,0.402238,-0.0916773,0.0146054,-1.21834,-3.98537,-3.6253,-6.18332,-3.43759,-223.931,-43.1487,-30.1075,-20.681,-10.3724,-7.78401,-15.8548,-12.748,-39.2806,-16.1245,-57.9367,-47.4585,-8.57722,-1.26423,-0.363843,-1.81013,-0.596053,-2.88507,-4.28897,-1.90378,-3.54578,-11.4151,7.64,-6.18
1958-02-11 00:03:00,-25.4023,-15.2735,4.12134,-0.754309,2.18624,0.938264,0.592178,0.600811,-0.441964,-3.27493,-2.75061,-17.2448,-16.754,-219.057,-41.5677,-32.1835,-20.3589,-10.0703,-7.45548,-15.5226,-12.4555,-38.6051,-15.9041,-57.1172,-46.8463,-8.38795,-1.20738,-0.314446,-1.22064,-0.427088,-2.21462,-3.99632,-1.58337,-6.05052,-13.1423,6.41,-5.85
1958-02-11 00:04:00,-21.8535,-0.697578,5.91961,8.10326,2.38201,0.64612,0.104454,0.393986,-0.876314,-2.88229,-3.13652,-3.24863,-0.287202,-212.297,-38.9677,-26.6682,-20.0633,-10.1698,-7.66572,-15.5135,-12.5476,-38.0227,-15.8998,-53.4466,-42.8653,-7.41221,-1.15759,-0.338902,-1.63568,-0.481924,-2.57903,-3.81899,-1.72089,-2.70828,-9.1635,6.86,-5.83
1958-02-11 00:05:00,-22.1862,-8.27531,5.13711,0.268796,2.60551,1.16628,0.767675,0.963066,-0.119596,-2.20411,-2.28064,-14.3106,-13.6827,-208.388,-37.7358,-29.2192,-19.7613,-9.86717,-7.33185,-15.186,-12.2519,-37.3925,-15.6767,-53.1844,-42.9873,-7.30852,-1.10339,-0.290608,-1.06056,-0.317705,-1.924,-3.54072,-1.4071,-5.23362,-10.9962,5.69,-5.5
1958-02-11 00:06:00,-18.7805,5.98445,6.84705,8.89314,2.79381,0.878704,0.289113,0.756325,-0.552554,-1.83912,-2.67406,-0.514813,2.50614,-202.053,-35.3959,-23.7703,-19.4858,-9.98425,-7.56139,-15.1986,-12.3664,-36.8596,-15.6967,-49.5044,-39.038,-6.4103,-1.05616,-0.315408,-1.47301,-0.37334,-2.29063,-3.37651,-1.54821,-1.93694,-7.11051,6.18,-5.49
1958-02-11 00:07:00,-19.3232,-2.09134,6.00695,1.01568,3.01044,1.39488,0.948084,1.32052,0.203892,-1.18475,-1.81414,-11.9772,-11.4212,-199.116,-34.4897,-26.9378,-19.2011,-9.66921,-7.20684,-14.8648,-12.0546,-36.2664,-15.4604,-49.9033,-39.9845,-6.39204,-1.00421,-0.266927,-0.896472,-0.21019,-1.6334,-3.10912,-1.23248,-4.57834,-9.14318,5.03,-5.15
