Date,X,Y,Z,F
1958-02-11 01:00:00,31675.8,1792.59,0,15939
1958-02-11 01:00:10,31675.6,1792.58,0,15938.9
1958-02-11 01:00:20,31675.4,1792.57,0,15938.8
1958-02-11 01:00:30,31675.2,1792.56,0,15938.7
1958-02-11 01:00:40,31674.9,1792.55,0,15938.6
1958-02-11 01:00:50,31674.7,1792.54,0,15938.5
1958-02-11 01:01:00,31674.5,1792.53,0,15938.4
1958-02-11 01:01:10,31674.3,1792.52,0,15938.3
1958-02-11 01:01:20,31674.1,1792.51,0,15938.2
1958-02-11 01:01:30,31673.8,1792.5,0,15938
1958-02-11 01:01:40,31673.6,1792.49,0,15937.9
1958-02-11 01:01:50,31673.4,1792.48,0,15937.8
1958-02-11 01:02:00,31673.2,1792.47,0,15937.7
1958-02-11 01:02:10,31673,1792.46,0,15937.6
1958-02-11 01:02:20,31672.7,1792.45,0,15937.5
1958-02-11 01:02:30,31672.5,1792.44,0,15937.4
1958-02-11 01:02:40,31672.3,1792.43,0,15937.3
1958-02-11 01:02:50,31672.1,1792.42,0,15937.2
1958-02-11 01:03:00,31671.9,1792.41,0,15937
1958-02-11 01:03:10,31671.6,1792.4,0,15936.9
1958-02-11 01:03:20,31671.4,1792.39,0,15936.8
1958-02-11 01:03:30,31671.2,1792.38,0,15936.7
1958-02-11 01:03:40,31671,1792.36,0,15936.6
1958-02-11 01:03:50,31670.8,1792.35,0,15936.5
1958-02-11 01:04:00,31670.6,1792.34,0,15936.4
1958-02-11 01:04:10,31670.3,1792.33,0,15936.3
1958-02-11 01:04:20,31670.1,1792.31,0,15936.2
1958-02-11 01:04:30,31669.9,1792.3,0,15936.1
1958-02-11 01:04:40,31669.7,1792.29,0,15935.9
1958-02-11 01:04:50,31669.5,1792.28,0,15935.8
1958-02-11 01:05:00,31669.2,1792.26,0,15935.7
1958-02-11 01:05:10,31669,1792.25,0,15935.6
1958-02-11 01:05:20,31668.8,1792.24,0,15935.5
1958-02-11 01:05:30,31668.6,1792.22,0,15935.4
1958-02-11 01:05:40,31668.4,1792.21,0,15935.3
1958-02-11 01:05:50,31668.1,1792.2,0,15935.2
1958-02-11 01:06:00,31667.9,1792.19,0,15935.1
1958-02-11 01:06:10,31667.7,1792.17,0,15934.9
1958-02-11 01:06:20,31667.5,1792.16,0,15934.8
1958-02-11 01:06:30,31667.3,1792.15,0,15934.7
1958-02-11 01:06:40,31667,1792.14,0,15934.6
1958-02-11 01:06:50,31666.7,1792.12,0,15934.5
1958-02-11 01:07:00,31666.6,1792.11,0,15934.4
1958-02-11 01:07:10,31666.9,1792.13,0,15934.5
1958-02-11 01:07:20,31667.4,1792.16,0,15934.8
1958-02-11 01:07:30,31668,1792.19,0,15935.1
1958-02-11 01:08:00,31669.8,1792.29,0,15936
1958-02-11 01:08:10,31670.3,1792.32,0,15936.3
1958-02-11 01:08:20,31670.9,1792.36,0,15936.6
1958-02-11 01:08:30,31671.5,1792.39,0,15936.9
1958-02-11 01:09:00,31673.3,1792.49,0,15937.8
1958-02-11 01:09:10,31673.8,1792.52,0,15938
1958-02-11 01:09:20,31674.4,1792.55,0,15938.3
1958-02-11 01:09:30,31675,1792.58,0,15938.6
1958-02-11 01:09:40,31675.6,1792.62,0,15938.9
1958-02-11 01:09:50,31676.2,1792.65,0,15939.2
1958-02-11 01:10:00,31676.8,1792.68,0,15939.5
1958-02-11 01:10:10,31677.3,1792.72,0,15939.8
1958-02-11 01:10:20,31677.9,1792.75,0,15940.1
1958-02-11 01:10:30,31678.5,1792.78,0,15940.4
1958-02-11 01:10:40,31679.1,1792.81,0,15940.7
1958-02-11 01:10:50,31679.7,1792.85,0,15941
1958-02-11 01:11:00,31680.3,1792.88,0,15941.3
1958-02-11 01:11:10,31680.8,1792.91,0,15941.6
1958-02-11 01:11:20,31681.4,1792.95,0,15941.9
1958-02-11 01:11:30,31682,1792.98,0,15942.1
1958-02-11 01:11:40,31682.6,1793.01,0,15942.4
1958-02-11 01:11:50,31683.2,1793.05,0,15942.7
1958-02-11 01:12:00,31683.7,1793.08,0,15943
1958-02-11 01:12:10,31684.3,1793.1,0,15943.3
1958-02-11 01:12:20,31684.9,1793.14,0,15943.6
1958-02-11 01:12:30,31685.5,1793.2,0,15943.9
1958-02-11 01:12:40,31686.1,1793.21,0,15944.2
1958-02-11 01:12:50,31686.7,1793.13,0,15944.5
1958-02-11 01:13:00,31687.2,1793.27,0,15944.8
1958-02-11 01:13:10,31687.7,1793.89,0,15945.1
1958-02-11 01:13:20,31688.1,1794.79,0,15945.4
1958-02-11 01:13:30,31688.5,1795.73,0,15945.7
1958-02-11 01:13:40,31688.8,1796.65,0,15946
1958-02-11 01:13:50,31689.2,1797.58,0,15946.3
1958-02-11 01:14:00,31689.6,1798.51,0,15946.5
1958-02-11 01:14:10,31690,1799.44,0,15946.8
1958-02-11 01:14:20,31690.4,1800.37,0,15947.1
1958-02-11 01:14:30,31690.7,1801.3,0,15947.4
1958-02-11 01:14:40,31691.1,1802.23,0,15947.7
1958-02-11 01:14:50,31691.5,1803.16,0,15948
1958-02-11 01:15:00,31691.9,1804.09,0,15948.3
1958-02-11 01:15:10,31692.3,1805.02,0,15948.6
1958-02-11 01:15:20,31692.6,1805.95,0,15948.9
1958-02-11 01:15:30,31693,1806.88,0,15949.2
1958-02-11 01:15:40,31693.4,1807.8,0,15949.5
1958-02-11 01:15:50,31693.8,1808.73,0,15949.8
1958-02-11 01:16:00,31694.1,1809.66,0,15950.1
1958-02-11 01:16:10,31694.5,1810.59,0,15950.4
