dB_E,dB_N,dB_Z
-0.034538,-0.061233,0.085986
-0.040297,-0.045996,0.064658
-0.044284,-0.050931,0.070862
-0.038941,-0.047748,0.065895
-0.040264,-0.049229,0.067628
-0.03883,-0.047444,0.065532
-0.036087,-0.047252,0.064011
-0.035386,-0.045983,0.062815
-0.033669,-0.045087,0.061215
-0.032451,-0.044486,0.060553
-0.031131,-0.043326,0.059079
-0.030061,-0.042629,0.058262
-0.029162,-0.041927,0.057522
-0.028539,-0.041432,0.057003
-0.027942,-0.041151,0.056613
-0.027623,-0.041012,0.056379
-0.027468,-0.04096,0.056363
-0.027276,-0.040649,0.056032
-0.035355,-0.039547,0.061332
-0.037278,-0.051519,0.066562
-0.019215,-0.04529,0.052682
-0.0045105,-0.034679,0.037271
-0.0016796,-0.033347,0.03164
-0.020155,-0.031122,0.045734
-0.034317,-0.046115,0.067686
-0.035946,-0.050071,0.071619
-0.045258,-0.053276,0.081424
-0.04791,-0.060249,0.088003
-0.052324,-0.067895,0.094995
-0.059645,-0.079067,0.10495
-0.067082,-0.093711,0.11777
-0.082052,-0.11122,0.13779
-0.085335,-0.12715,0.15134
-0.090163,-0.15364,0.17442
-0.1007,-0.17062,0.19338
-0.096362,-0.20126,0.21459
-0.1019,-0.22323,0.23407
-0.10376,-0.2508,0.25747
-0.10051,-0.27611,0.27514
-0.097819,-0.30076,0.29228
-0.10417,-0.3222,0.31236
-0.11097,-0.33719,0.32775
-0.11178,-0.33604,0.32786
-0.11685,-0.33741,0.32904
-0.13042,-0.31441,0.3216
-0.14637,-0.3162,0.33354
-0.15247,-0.31729,0.33931
-0.15797,-0.30271,0.33662
-0.15667,-0.29129,0.33109
-0.15848,-0.28089,0.32708
-0.14028,-0.25645,0.3024
-0.1331,-0.24631,0.29098
-0.14276,-0.22842,0.28504
-0.15112,-0.23191,0.29386
-0.15526,-0.23064,0.29345
-0.16267,-0.22919,0.29503
-0.1633,-0.22598,0.29118
-0.15548,-0.21353,0.27426
-0.16667,-0.22262,0.28367
-0.17838,-0.22008,0.28519
-0.1786,-0.2294,0.28893
-0.173,-0.21981,0.27399
-0.17751,-0.22277,0.2776
-0.17058,-0.2267,0.27301
-0.1691,-0.22167,0.26648
-0.18052,-0.23838,0.2831
-0.18125,-0.24315,0.2834
-0.17869,-0.25577,0.28971
-0.18402,-0.26415,0.29576
-0.18062,-0.27244,0.29926
-0.18451,-0.27487,0.30038
-0.16875,-0.28645,0.30036
-0.15778,-0.28972,0.29808
-0.14984,-0.30306,0.29886
-0.14764,-0.31387,0.30191
-0.14577,-0.32716,0.30753
-0.13372,-0.34234,0.31073
-0.11784,-0.36185,0.31451
-0.11409,-0.37214,0.3184
-0.10845,-0.40347,0.33636
-0.10833,-0.42421,0.34454
-0.09129,-0.44554,0.35147
-0.07281,-0.45578,0.34049
-0.057799,-0.46429,0.34153
-0.058554,-0.46672,0.33258
-0.043339,-0.47249,0.32751
-0.02105,-0.48337,0.31708
-0.015567,-0.5003,0.31967
-0.026643,-0.49796,0.3234
-0.056097,-0.49403,0.33308
-0.063676,-0.5004,0.34012
-0.071673,-0.47965,0.33136
-0.039756,-0.48161,0.32533
-0.065003,-0.44544,0.3044
-0.06025,-0.46132,0.31821
-0.082789,-0.42927,0.30353
-0.073486,-0.43201,0.30096
-0.051137,-0.43431,0.30103
-0.078818,-0.41299,0.28575
-0.086339,-0.41529,0.29188
-0.082256,-0.41015,0.27956
-0.081555,-0.40219,0.27575
-0.083608,-0.39287,0.2711
-0.1034,-0.40038,0.28334
-0.1272,-0.38763,0.27993
-0.092568,-0.38918,0.26442
-0.026711,-0.37543,0.22196
-0.10341,-0.35013,0.2396
-0.09892,-0.37389,0.24888
-0.10098,-0.36442,0.23169
-0.073001,-0.35141,0.19684
-0.088154,-0.32592,0.18278
-0.070158,-0.32061,0.16136
-0.094685,-0.31389,0.16122
-0.10082,-0.32152,0.16884
-0.10152,-0.33321,0.17197
-0.1087,-0.32722,0.16772
-0.081196,-0.29911,0.12436
-0.096299,-0.29413,0.13148
-0.088143,-0.30732,0.13651
-0.098525,-0.33298,0.15859
-0.094263,-0.34166,0.16395
-0.080768,-0.30235,0.11985
-0.073107,-0.26055,0.08625
-0.079312,-0.25002,0.086057
-0.067391,-0.2515,0.084827
-0.063657,-0.24375,0.076464
-0.069928,-0.24452,0.086263
-0.068233,-0.21272,0.056183
-0.067738,-0.20107,0.05577
-0.057149,-0.18998,0.03739
-0.042937,-0.18342,0.033177
-0.032266,-0.16864,0.011275
-0.039896,-0.19534,0.031765
-0.024584,-0.17655,0.0121
-0.034815,-0.18205,0.020113
-0.032269,-0.1921,0.028417
-0.027553,-0.18659,0.022418
-0.020679,-0.17211,0.0087053
-0.021054,-0.16703,-0.00065795
-0.021312,-0.1498,-0.010238
-0.025832,-0.18412,0.02109
-0.033436,-0.19212,0.036153
-0.011569,-0.18357,0.0096787
-0.0039044,-0.1334,-0.028082
0.0078066,-0.1201,-0.030046
0.0028111,-0.12418,-0.0038282
0.012103,-0.14005,0.0064165
0.0067768,-0.12098,-5.7348e-06
0.017095,-0.14786,0.026885
-0.0074712,-0.17967,0.071171
0.0078321,-0.20012,0.089694
-0.00063063,-0.22031,0.11025
-0.0075791,-0.2274,0.1246
0.0035149,-0.22738,0.1209
0.011011,-0.23098,0.1302
0.01987,-0.24256,0.15101
0.029914,-0.25725,0.1638
0.038513,-0.2608,0.16421
0.056029,-0.26134,0.16154
0.060721,-0.27852,0.17935
0.06626,-0.28825,0.18488
0.063853,-0.30944,0.20312
0.069858,-0.30852,0.20994
0.073484,-0.33697,0.23663
0.082048,-0.34703,0.24482
0.076786,-0.35899,0.25864
0.068476,-0.36867,0.26405
0.061597,-0.38676,0.28684
0.074895,-0.38346,0.27
0.065573,-0.3552,0.24616
0.071133,-0.3401,0.23426
0.07089,-0.34341,0.2358
0.079506,-0.34047,0.23871
0.086916,-0.33202,0.22468
0.090027,-0.33771,0.22558
0.096603,-0.3161,0.20535
0.099321,-0.30905,0.19784
0.099067,-0.3015,0.19241
0.10409,-0.30252,0.1898
0.099777,-0.2935,0.18066
0.10388,-0.30697,0.18746
0.10391,-0.29987,0.18292
0.10519,-0.30614,0.18869
0.1114,-0.29739,0.17881
0.10746,-0.29825,0.17627
0.12265,-0.23787,0.11168
0.10566,-0.27136,0.16144
0.11284,-0.32981,0.22106
0.13507,-0.36832,0.2412
0.13528,-0.38773,0.25876
0.14017,-0.40388,0.26759
0.14055,-0.40427,0.26095
0.13767,-0.35959,0.21564
0.13558,-0.36404,0.22593
0.14202,-0.35239,0.2209
0.1449,-0.38296,0.24733
0.1465,-0.41434,0.27725
0.14897,-0.42446,0.28225
0.14166,-0.43104,0.29179
0.13788,-0.43125,0.29146
0.13051,-0.43785,0.29421
0.11965,-0.41018,0.26724
0.091725,-0.35529,0.22887
0.093645,-0.31076,0.19368
0.09428,-0.24713,0.13522
0.086172,-0.25321,0.15832
0.10258,-0.26113,0.16556
0.10716,-0.26363,0.16879
0.10572,-0.25637,0.16735
0.092749,-0.26293,0.17983
0.090398,-0.27256,0.18895
0.075932,-0.26597,0.18468
0.062261,-0.2625,0.18722
0.038548,-0.27351,0.20539
0.035559,-0.25532,0.1783
0.018926,-0.23322,0.16325
0.0093001,-0.22043,0.15519
0.0091495,-0.19872,0.13534
0.00090195,-0.20875,0.15069
0.0077307,-0.19699,0.13285
0.0071942,-0.19124,0.12367
0.0051299,-0.1784,0.11976
0.0018922,-0.1819,0.12328
-0.008087,-0.20328,0.14917
-0.012577,-0.21858,0.16909
-0.0186,-0.24018,0.19257
-0.030664,-0.26556,0.22184
-0.042313,-0.28397,0.24591
-0.053409,-0.31201,0.2746
-0.064348,-0.33657,0.29934
-0.075163,-0.36876,0.3326
-0.080981,-0.39399,0.35747
-0.085797,-0.4029,0.3649
-0.089944,-0.4274,0.3922
-0.098677,-0.45612,0.42122
-0.1068,-0.48822,0.45644
-0.11161,-0.51193,0.47994
-0.11401,-0.52631,0.49392
-0.10908,-0.53277,0.50035
-0.1138,-0.5458,0.50556
-0.11587,-0.54028,0.49523
-0.11544,-0.54182,0.49768
-0.11659,-0.54747,0.50329
-0.11697,-0.54646,0.49954
-0.12142,-0.5418,0.49268
-0.12885,-0.5544,0.50644
-0.13269,-0.56934,0.52256
-0.13089,-0.56798,0.51764
-0.14014,-0.5473,0.49881
-0.15512,-0.54317,0.50136
-0.16765,-0.57309,0.53491
-0.1742,-0.61192,0.57185
-0.16437,-0.61182,0.5658
-0.16135,-0.59731,0.54888
-0.16406,-0.56616,0.51497
-0.16352,-0.54876,0.50435
-0.1558,-0.54238,0.50057
-0.14458,-0.53087,0.48978
-0.14494,-0.52121,0.48005
-0.14542,-0.49487,0.45253
-0.15372,-0.49176,0.45825
-0.14972,-0.4974,0.47403
-0.14146,-0.51767,0.50481
-0.11915,-0.50403,0.48651
-0.11136,-0.48418,0.45964
-0.10927,-0.45778,0.42687
-0.11042,-0.43045,0.39639
-0.10354,-0.43121,0.39994
-0.088973,-0.42102,0.3864
-0.075346,-0.43014,0.39466
-0.049766,-0.45993,0.42345
-0.034601,-0.453,0.41591
-0.015756,-0.45483,0.41352
-0.0040463,-0.3902,0.36481
0.043494,-0.37536,0.35403
0.079433,-0.36463,0.32857
0.13538,-0.41284,0.34461
0.1498,-0.40053,0.31495
0.15567,-0.38753,0.26982
0.19869,-0.37277,0.23691
0.18369,-0.37624,0.23033
0.1858,-0.37643,0.22277
0.19339,-0.37516,0.21705
0.17471,-0.38035,0.22228
0.17653,-0.38002,0.22338
0.17638,-0.36075,0.20039
0.19706,-0.36498,0.20161
0.20887,-0.36412,0.19451
0.21227,-0.36577,0.19256
0.19619,-0.36869,0.19902
0.20198,-0.36641,0.18139
0.18331,-0.3684,0.19522
0.18148,-0.36484,0.18533
0.16662,-0.36149,0.18075
0.17386,-0.36061,0.17778
0.17203,-0.35692,0.18269
0.17359,-0.33112,0.15538
0.1915,-0.33443,0.15726
0.14346,-0.32596,0.13611
0.17064,-0.33902,0.15215
0.17876,-0.30389,0.11546
0.198,-0.29516,0.10084
0.20395,-0.27882,0.080073
0.18253,-0.30311,0.10215
0.17845,-0.33097,0.12685
0.15784,-0.34676,0.14643
0.16732,-0.36067,0.15325
0.15851,-0.37527,0.1667
0.15555,-0.37926,0.16984
0.15408,-0.37821,0.16333
0.15699,-0.37486,0.15352
0.151,-0.36331,0.15366
0.15647,-0.37594,0.15589
0.15241,-0.38653,0.16104
0.14518,-0.39284,0.16756
0.13041,-0.40385,0.18967
0.13235,-0.40828,0.19146
0.11549,-0.40302,0.18124
0.10756,-0.38964,0.16317
0.098326,-0.38774,0.16755
0.096181,-0.37571,0.15924
0.098975,-0.37126,0.1504
0.082691,-0.34964,0.13274
0.081718,-0.3298,0.11848
0.074872,-0.31908,0.1139
0.07529,-0.30831,0.10543
0.06665,-0.30494,0.09956
0.056378,-0.28006,0.066375
0.060123,-0.25923,0.046573
0.069918,-0.22025,0.017381
0.041248,-0.21928,0.012511
0.038605,-0.20015,-0.0031726
0.045069,-0.18643,-0.019583
0.040256,-0.17534,-0.025965
0.025415,-0.17828,-0.018139
0.016506,-0.18224,-0.010462
0.011215,-0.17322,-0.023861
0.014265,-0.17228,-0.017049
0.020068,-0.18727,0.0081756
0.026609,-0.18023,-0.0035405
0.023248,-0.17232,-0.011652
0.018789,-0.17439,0.00061124
0.023293,-0.17824,0.0057502
0.029992,-0.18213,0.017881
0.031789,-0.18742,0.025875
0.035585,-0.19186,0.029863
0.034728,-0.19061,0.032743
0.03944,-0.19126,0.033432
0.037777,-0.19165,0.036461
0.041673,-0.18825,0.035994
0.041927,-0.18473,0.035049
0.045371,-0.18447,0.041068
0.051868,-0.18858,0.051058
0.05555,-0.18764,0.047047
0.051364,-0.18509,0.049473
0.059963,-0.18876,0.062879
0.062371,-0.18742,0.055936
0.054821,-0.17558,0.047487
0.05806,-0.17559,0.050919
0.05799,-0.17585,0.053889
0.065264,-0.17592,0.059282
0.068651,-0.17201,0.058656
0.067498,-0.16876,0.05563
0.073313,-0.17581,0.066106
0.073921,-0.17485,0.06891
0.079173,-0.17301,0.070285
0.082431,-0.17529,0.072921
0.080122,-0.17198,0.073084
0.083906,-0.17123,0.072971
0.085199,-0.17368,0.079826
0.089498,-0.17679,0.085174
0.093398,-0.17984,0.090043
0.096205,-0.17867,0.090067
0.098275,-0.17816,0.09205
0.10074,-0.17813,0.095974
0.10449,-0.17849,0.099698
0.11221,-0.18612,0.11323
0.11171,-0.17842,0.1015
0.11231,-0.17777,0.10295
0.11501,-0.17851,0.10563
0.10706,-0.16795,0.090548
0.10108,-0.15472,0.075783
0.10142,-0.15268,0.077963
0.10747,-0.1527,0.083159
0.11359,-0.15367,0.087976
0.12076,-0.15522,0.09259
0.13344,-0.16428,0.11333
0.1317,-0.16101,0.10755
0.13641,-0.15668,0.10062
0.13107,-0.14832,0.085478
0.12132,-0.14931,0.080369
0.12151,-0.15175,0.085912
0.1305,-0.15839,0.090762
0.13181,-0.14634,0.088641
0.13508,-0.15204,0.091314
0.13564,-0.15277,0.090715
0.13309,-0.14789,0.089558
0.13218,-0.13602,0.080425
0.12956,-0.138,0.08135
0.13091,-0.14213,0.088761
0.13515,-0.14174,0.095119
0.13507,-0.14183,0.093742
0.1352,-0.13841,0.092347
0.14086,-0.14248,0.10012
0.14184,-0.14239,0.10239
0.14213,-0.13853,0.098808
0.14374,-0.1356,0.097422
0.14209,-0.13088,0.09379
0.13956,-0.12567,0.090272
0.14195,-0.1222,0.090261
0.14296,-0.11824,0.089086
0.14864,-0.12097,0.10149
0.15105,-0.12295,0.10816
0.15312,-0.12362,0.11036
0.15035,-0.11878,0.10406
0.14505,-0.11265,0.0994
0.14152,-0.10849,0.097487
0.14162,-0.1089,0.10377
0.1436,-0.10707,0.10926
0.14946,-0.1078,0.11195
0.1465,-0.10312,0.10959
0.15003,-0.10736,0.12337
0.14697,-0.099666,0.10799
0.15412,-0.10464,0.11128
0.14063,-0.090572,0.096127
0.12821,-0.082518,0.080814
0.11815,-0.072674,0.06284
0.1104,-0.069807,0.058383
0.10812,-0.064468,0.055776
0.11047,-0.064808,0.064927
