dB_E,dB_N,dB_Z
-0.048488,-0.052036,0.10172
-0.052596,-0.03595,0.073318
-0.057886,-0.039934,0.080771
-0.051142,-0.038217,0.075933
-0.052904,-0.039388,0.077911
-0.051105,-0.037916,0.075467
-0.047762,-0.0386,0.074785
-0.046915,-0.037422,0.073288
-0.044799,-0.037018,0.0718
-0.043345,-0.036754,0.071513
-0.041743,-0.035899,0.070005
-0.040445,-0.035505,0.069426
-0.039372,-0.035043,0.068787
-0.038642,-0.034732,0.068366
-0.037951,-0.034639,0.068158
-0.037602,-0.034621,0.068059
-0.037466,-0.034655,0.068211
-0.037275,-0.034408,0.067891
-0.04757,-0.030111,0.070403
-0.050787,-0.04283,0.077511
-0.027685,-0.042868,0.069529
-0.007803,-0.03634,0.054157
-0.0040417,-0.035816,0.046761
-0.027567,-0.02634,0.056163
-0.047123,-0.037998,0.082402
-0.049632,-0.042064,0.087992
-0.06194,-0.042132,0.097371
-0.065882,-0.048876,0.10602
-0.072053,-0.055378,0.11304
-0.082179,-0.064916,0.12304
-0.092784,-0.078044,0.13708
-0.11326,-0.09179,0.15773
-0.11883,-0.10775,0.1755
-0.12885,-0.13263,0.20132
-0.14418,-0.14701,0.22279
-0.14357,-0.17962,0.25268
-0.15395,-0.20004,0.27471
-0.16043,-0.22763,0.30515
-0.16036,-0.25445,0.32924
-0.16065,-0.28045,0.35228
-0.17218,-0.30042,0.37592
-0.18266,-0.31479,0.39623
-0.18272,-0.31507,0.40011
-0.1881,-0.31614,0.40167
-0.20076,-0.28978,0.39007
-0.22049,-0.28811,0.40312
-0.2285,-0.28809,0.41068
-0.23367,-0.27202,0.40778
-0.23071,-0.26112,0.40298
-0.23265,-0.24914,0.39593
-0.20677,-0.22939,0.37152
-0.19653,-0.22054,0.35743
-0.20802,-0.19855,0.34468
-0.21975,-0.19977,0.35472
-0.22571,-0.19769,0.35345
-0.23531,-0.1938,0.35244
-0.23613,-0.19025,0.3467
-0.2247,-0.17956,0.32617
-0.24073,-0.18558,0.33316
-0.25557,-0.18024,0.33295
-0.2571,-0.19027,0.33828
-0.2485,-0.18236,0.32035
-0.25557,-0.1836,0.32203
-0.24698,-0.19004,0.31862
-0.24438,-0.18532,0.31028
-0.26153,-0.19971,0.32839
-0.26336,-0.20487,0.32902
-0.26196,-0.21872,0.33828
-0.27086,-0.22553,0.34287
-0.26846,-0.23527,0.34872
-0.27485,-0.23668,0.34816
-0.25889,-0.25129,0.35009
-0.24789,-0.25598,0.34771
-0.23904,-0.27217,0.35115
-0.23734,-0.28412,0.35588
-0.23667,-0.29844,0.36297
-0.22473,-0.31651,0.36941
-0.20909,-0.33944,0.37707
-0.20654,-0.35047,0.3822
-0.20558,-0.38336,0.40665
-0.20739,-0.40569,0.41857
-0.19144,-0.43073,0.43009
-0.16897,-0.44605,0.41927
-0.15261,-0.45777,0.42424
-0.15123,-0.46209,0.41422
-0.13528,-0.4708,0.40954
-0.11116,-0.48622,0.39987
-0.10681,-0.50534,0.40615
-0.11785,-0.50215,0.41211
-0.15109,-0.49443,0.42442
-0.16063,-0.50037,0.43465
-0.16539,-0.47905,0.42589
-0.13039,-0.48586,0.42234
-0.15289,-0.44542,0.39283
-0.14834,-0.46351,0.41392
-0.16912,-0.42739,0.39232
-0.15907,-0.43205,0.3907
-0.13738,-0.43662,0.39454
-0.16253,-0.41258,0.37226
-0.17208,-0.41382,0.3811
-0.16523,-0.41019,0.36619
-0.16462,-0.40196,0.36226
-0.16623,-0.39234,0.35599
-0.18937,-0.39764,0.37159
-0.21283,-0.38206,0.36663
-0.17358,-0.38899,0.3503
-0.097076,-0.38455,0.29952
-0.17979,-0.34771,0.3165
-0.17612,-0.37414,0.33212
-0.17656,-0.36464,0.30954
-0.13667,-0.35742,0.2651
-0.15128,-0.32837,0.24397
-0.12666,-0.32638,0.21724
-0.15406,-0.31638,0.21414
-0.16214,-0.32366,0.22493
-0.16439,-0.33598,0.2295
-0.17159,-0.32935,0.22321
-0.13305,-0.30543,0.16695
-0.15297,-0.29696,0.17274
-0.14562,-0.31249,0.18087
-0.16375,-0.33736,0.21095
-0.1586,-0.34804,0.22075
-0.13166,-0.31051,0.16307
-0.11388,-0.2686,0.11786
-0.12157,-0.25618,0.11571
-0.1086,-0.25943,0.11617
-0.10052,-0.25241,0.10679
-0.10807,-0.25182,0.11806
-0.098763,-0.21999,0.079174
-0.096648,-0.20749,0.077888
-0.082562,-0.19753,0.052287
-0.06533,-0.19204,0.047105
-0.049447,-0.17836,0.0166
-0.063599,-0.20455,0.043031
-0.040857,-0.18741,0.01698
-0.053111,-0.19141,0.027177
-0.050965,-0.20227,0.03792
-0.044171,-0.19744,0.030527
-0.03183,-0.1835,0.011708
-0.031065,-0.1782,-0.0028576
-0.029301,-0.16057,-0.015148
-0.043253,-0.19491,0.025176
-0.05329,-0.20278,0.048573
-0.022827,-0.19688,0.010418
-0.0057801,-0.14637,-0.040029
0.0088254,-0.13256,-0.045735
-0.00038195,-0.13508,-0.0085147
0.007815,-0.15231,0.0038413
0.0051636,-0.13199,-0.0033299
0.010269,-0.16038,0.032385
-0.027688,-0.19043,0.094354
-0.013047,-0.2135,0.1222
-0.026075,-0.23364,0.15098
-0.034694,-0.23994,0.17117
-0.021007,-0.24107,0.16598
-0.014297,-0.24539,0.17891
-0.0063404,-0.25757,0.2082
0.0032669,-0.27361,0.22574
0.013128,-0.2783,0.22646
0.033284,-0.28053,0.2231
0.036079,-0.29848,0.24834
0.041875,-0.30898,0.25592
0.034726,-0.33091,0.28191
0.042256,-0.33008,0.29144
0.041152,-0.36001,0.32989
0.049231,-0.3715,0.34141
0.040393,-0.38363,0.36111
0.03128,-0.39317,0.36937
0.01847,-0.4115,0.40204
0.037229,-0.40978,0.37865
0.034388,-0.37904,0.34406
0.043331,-0.36333,0.32668
0.041284,-0.36671,0.32875
0.051657,-0.36431,0.33348
0.061274,-0.35651,0.31358
0.065047,-0.36275,0.31523
0.076563,-0.34041,0.28573
0.080353,-0.33325,0.27459
0.080531,-0.32529,0.26726
0.084329,-0.3273,0.2637
0.081205,-0.31742,0.25106
0.083786,-0.33192,0.26028
0.085641,-0.32416,0.2541
0.085597,-0.3307,0.26221
0.093715,-0.32221,0.24827
0.088907,-0.32294,0.24372
0.12145,-0.25982,0.15035
0.091196,-0.29277,0.21881
0.084233,-0.3558,0.30819
0.10355,-0.39897,0.33856
0.10105,-0.41978,0.36483
0.10458,-0.43732,0.37854
0.1053,-0.4383,0.36975
0.11266,-0.39031,0.30388
0.10734,-0.3946,0.31781
0.11516,-0.3827,0.31104
0.11149,-0.41559,0.35019
0.10687,-0.44953,0.39529
0.10966,-0.46041,0.40287
0.10022,-0.46678,0.41638
0.096381,-0.46671,0.41636
0.086898,-0.47367,0.42095
0.080593,-0.44335,0.38117
0.061592,-0.38226,0.32577
0.071067,-0.3346,0.27133
0.082928,-0.2666,0.1844
0.069615,-0.27251,0.21844
0.084046,-0.28285,0.23086
0.087397,-0.28645,0.23651
0.086682,-0.27875,0.2352
0.069431,-0.28524,0.25535
0.064408,-0.29591,0.2703
0.049275,-0.288,0.26525
0.03443,-0.28344,0.26971
0.0044573,-0.29371,0.29736
0.0062495,-0.27402,0.25765
-0.008538,-0.24928,0.23501
-0.018019,-0.23477,0.22237
-0.014178,-0.21139,0.19356
-0.026464,-0.22209,0.21761
-0.016027,-0.20994,0.19055
-0.016043,-0.20406,0.17625
-0.016125,-0.19026,0.1717
-0.021555,-0.19426,0.17717
-0.03805,-0.21725,0.21691
-0.045941,-0.23372,0.24788
-0.057161,-0.25694,0.28298
-0.075563,-0.28393,0.32789
-0.092245,-0.30335,0.36531
-0.10981,-0.33344,0.40957
-0.12644,-0.35963,0.44787
-0.14454,-0.39397,0.49843
-0.15546,-0.42116,0.53624
-0.16196,-0.43083,0.54809
-0.17149,-0.45767,0.58958
-0.18664,-0.48872,0.63431
-0.20139,-0.52326,0.68783
-0.21047,-0.54886,0.72355
-0.21519,-0.56457,0.74525
-0.21138,-0.57325,0.7576
