dB_E,dB_N,dB_Z
-0.078447,-0.025232,0.16106
-0.080834,-0.0077222,0.091095
-0.08929,-0.0087226,0.10458
-0.078614,-0.010916,0.10296
-0.081433,-0.011195,0.10549
-0.078782,-0.010561,0.10166
-0.073658,-0.013272,0.10805
-0.07257,-0.012228,0.10508
-0.069454,-0.013122,0.10549
-0.06745,-0.013423,0.10891
-0.065283,-0.013213,0.10846
-0.063503,-0.013399,0.11073
-0.062122,-0.013436,0.11178
-0.061267,-0.013518,0.11293
-0.060445,-0.013798,0.11477
-0.06014,-0.014013,0.11626
-0.060206,-0.014184,0.11824
-0.060196,-0.014049,0.11865
-0.075917,-0.00047272,0.092009
-0.083236,-0.018458,0.11522
-0.048334,-0.032627,0.17037
-0.012889,-0.03711,0.15658
-0.0072235,-0.041241,0.14244
-0.043246,-0.0093183,0.098637
-0.077773,-0.0095466,0.15156
-0.083542,-0.014162,0.17087
-0.10366,-0.004526,0.16802
-0.11064,-0.010684,0.18855
-0.11984,-0.015244,0.1834
-0.13585,-0.022292,0.17947
-0.15276,-0.0332,0.18601
-0.18562,-0.038211,0.18893
-0.19533,-0.054811,0.22536
-0.2146,-0.078095,0.24105
-0.24072,-0.085473,0.26249
-0.24659,-0.12402,0.33702
-0.26633,-0.142,0.35345
-0.28153,-0.16963,0.4133
-0.28676,-0.20179,0.46615
-0.29084,-0.23294,0.50915
-0.31357,-0.24964,0.53816
-0.33392,-0.26188,0.58989
-0.3345,-0.26463,0.63309
-0.34124,-0.26586,0.63708
-0.35608,-0.22748,0.61392
-0.3879,-0.21405,0.63441
-0.40334,-0.20955,0.66336
-0.41148,-0.1853,0.67696
-0.40671,-0.17277,0.69275
-0.41059,-0.15522,0.6709
-0.36765,-0.1449,0.67995
-0.34877,-0.13988,0.64767
-0.36792,-0.10448,0.59315
-0.38973,-0.097098,0.61294
-0.4025,-0.09279,0.61207
-0.41758,-0.081495,0.58667
-0.41963,-0.077489,0.57098
-0.39884,-0.072204,0.53067
-0.4268,-0.071889,0.50613
-0.45192,-0.057196,0.49788
-0.45667,-0.070839,0.51241
-0.44082,-0.068854,0.4796
-0.45353,-0.065125,0.4561
-0.44025,-0.080641,0.46361
-0.43408,-0.07661,0.44009
-0.46541,-0.086106,0.4555
-0.47029,-0.0935,0.45884
-0.47023,-0.11174,0.48005
-0.48692,-0.11531,0.45997
-0.48713,-0.12975,0.48214
-0.4998,-0.1287,0.46449
-0.4809,-0.15291,0.47274
-0.4681,-0.161,0.46457
-0.45421,-0.18776,0.47802
-0.45171,-0.20444,0.48564
-0.4515,-0.22411,0.48963
-0.43682,-0.25145,0.509
