dB_E,dB_N,dB_Z
-0.061399,-0.13957,0.0007084
-0.056161,-0.2462,-0.28346
-0.065309,-0.22167,-0.24928
-0.059248,-0.20518,-0.20029
-0.060857,-0.20896,-0.2074
-0.058918,-0.2102,-0.20996
-0.058215,-0.17045,-0.13377
-0.056075,-0.1731,-0.14364
-0.055835,-0.15689,-0.11359
-0.055489,-0.13053,-0.071955
-0.0547,-0.11366,-0.049155
-0.054831,-0.089276,-0.012404
-0.054717,-0.07305,0.011297
-0.055074,-0.058332,0.032917
-0.055562,-0.041769,0.058139
-0.056245,-0.027815,0.078111
-0.057434,-0.012188,0.10016
-0.05805,-0.0021692,0.11222
-0.035553,-0.25106,-0.31132
-0.087083,-0.060259,-0.0012283
-0.098266,0.41499,0.78189
-0.058469,0.30088,0.73708
-0.07468,0.38062,0.83239
-0.029888,-0.095603,-0.0011269
-0.058041,0.11528,0.22112
-0.082326,0.21689,0.38624
-0.079277,0.068956,0.13238
-0.090195,0.12514,0.22773
-0.086013,-0.067484,-0.019834
-0.08822,-0.27129,-0.29042
-0.091601,-0.46568,-0.5261
-0.095777,-0.75689,-0.94053
-0.10525,-0.78938,-0.89762
-0.10731,-1.095,-1.2504
-0.11099,-1.2691,-1.4738
-0.13487,-1.1748,-1.1814
-0.13643,-1.4228,-1.4714
-0.14763,-1.4655,-1.4125
-0.16675,-1.4695,-1.2747
-0.17028,-1.6142,-1.3157
-0.17744,-1.7649,-1.4803
-0.21578,-1.5862,-1.2008
-0.24702,-1.2823,-0.73106
-0.26526,-1.273,-0.7025
-0.26777,-1.1605,-0.7102
-0.28657,-1.0964,-0.70807
-0.32407,-0.83526,-0.38873
-0.33547,-0.56036,-0.1102
-0.34134,-0.30966,0.20199
-0.34466,-0.26054,0.16359
-0.33635,0.17973,0.79103
-0.30901,0.039318,0.60814
-0.28789,-0.093901,0.20957
-0.30275,0.024033,0.29552
-0.32659,0.11288,0.3723
-0.30808,-0.069914,0.030507
-0.31172,-0.064254,-0.0045588
-0.27886,-0.1737,-0.167
-0.28537,-0.43217,-0.59357
-0.28556,-0.4104,-0.69299
-0.31208,-0.34208,-0.55921
-0.29791,-0.3969,-0.63917
-0.27188,-0.64278,-1.0463
-0.29203,-0.54152,-0.82958
-0.25983,-0.71075,-1.0733
-0.28477,-0.80462,-1.2186
-0.29605,-0.78557,-1.1806
-0.29917,-0.83509,-1.1623
-0.27961,-1.1187,-1.5927
-0.29735,-1.0192,-1.4083
-0.28175,-1.1785,-1.6841
-0.28071,-1.1933,-1.6101
-0.25512,-1.2836,-1.7186
-0.26076,-1.3279,-1.6489
-0.2621,-1.4115,-1.6912
-0.25589,-1.5909,-1.8548
-0.25048,-1.6332,-1.7916
-0.23611,-1.733,-1.791
-0.21506,-1.8621,-1.9393
-0.21622,-1.9651,-1.9571
-0.21786,-2.0985,-2.0206
-0.19641,-2.2272,-2.0569
-0.18615,-2.393,-2.1139
-0.15314,-2.4273,-2.0571
-0.1636,-2.4665,-2.0498
-0.12912,-2.6088,-2.1899
-0.095668,-2.6729,-2.2028
-0.09151,-2.6504,-2.0967
-0.10861,-2.5065,-1.8838
-0.16396,-2.1795,-1.5215
-0.19112,-2.0563,-1.3264
-0.21067,-1.7314,-0.93099
-0.17693,-1.6863,-0.76878
-0.19444,-1.5727,-0.84147
-0.20526,-1.4553,-0.52147
-0.21935,-1.3105,-0.53538
-0.21422,-1.278,-0.45314
-0.17618,-1.0811,-0.20364
-0.21795,-1.0229,-0.23454
-0.22753,-0.89422,-0.073176
-0.22583,-0.90044,-0.079959
-0.2161,-0.76426,0.040053
-0.22047,-0.68429,0.095418
-0.26995,-0.52535,0.32209
-0.30913,-0.31371,0.53501
-0.26138,-0.42027,0.4867
-0.16723,-0.7345,0.1286
-0.23798,-0.33528,0.38649
-0.28885,-0.27157,0.683
-0.2701,-0.36972,0.45739
-0.26802,-0.77294,0.09674
-0.24896,-0.80916,-0.16052
-0.21875,-1.0009,-0.36988
-0.24231,-1.0108,-0.4964
-0.26111,-0.90481,-0.32334
-0.27362,-0.96012,-0.34985
-0.29318,-0.97139,-0.38773
-0.253,-1.3111,-0.85016
-0.21881,-1.3698,-1.1171
-0.24692,-1.339,-0.95646
-0.2764,-1.1764,-0.6997
-0.32303,-1.0531,-0.36519
-0.28959,-1.2821,-0.70934
-0.24649,-1.3857,-0.97866
-0.23175,-1.3765,-1.089
-0.24157,-1.3068,-0.92189
-0.23986,-1.2349,-0.78836
-0.25827,-1.2806,-0.82126
-0.236,-1.2387,-0.87681
-0.20878,-1.1812,-0.86783
-0.20468,-1.4858,-1.2788
-0.18551,-1.5542,-1.3383
-0.14286,-1.8051,-1.7538
-0.16646,-1.8793,-1.7781
-0.15334,-2.0248,-1.9449
-0.14246,-1.8965,-1.8269
-0.15219,-1.9816,-1.847
-0.15958,-1.9675,-1.8018
-0.13249,-2.0976,-1.9888
-0.1147,-2.3704,-2.3995
-0.083813,-2.1784,-2.2711
-0.11989,-2.2906,-2.2954
-0.15354,-1.7727,-1.5522
-0.12084,-2.5924,-2.5413
-0.055963,-2.4791,-2.6425
-0.026403,-2.7199,-2.99
-0.045017,-2.1201,-2.1708
-0.052621,-2.4667,-2.4808
-0.041647,-2.0104,-2.0006
-0.031728,-2.12,-2.0068
-0.093419,-1.4926,-1.1011
-0.12309,-1.3206,-0.65086
-0.13424,-1.1372,-0.32587
-0.17125,-0.9285,0.033231
-0.15093,-1.089,-0.13974
-0.14256,-1.0568,-0.036317
-0.15151,-0.8158,0.41066
-0.13997,-0.86309,0.46313
-0.13449,-0.95441,0.40467
-0.097715,-1.0763,0.27818
-0.10488,-0.98306,0.52828
-0.095608,-1.0191,0.5464
-0.11043,-0.87897,0.81971
-0.10266,-0.7601,1.0239
-0.11701,-0.55171,1.469
-0.11117,-0.56745,1.5369
-0.13432,-0.42371,1.7958
-0.16126,-0.35005,1.9611
-0.18533,-0.10168,2.3861
-0.18,-0.46692,1.9601
-0.15267,-0.58175,1.6432
-0.13026,-0.71725,1.3937
-0.11831,-0.72524,1.3511
-0.12047,-0.60114,1.5633
-0.08793,-0.80111,1.2296
-0.089501,-0.87807,1.1814
-0.057533,-1.1022,0.76455
-0.041092,-1.2217,0.55298
-0.032128,-1.1673,0.55666
-0.023038,-1.2863,0.38873
-0.019984,-1.2329,0.37432
-0.023718,-1.3759,0.26768
-0.017041,-1.3255,0.29753
-0.015456,-1.3054,0.3498
0.00011183,-1.4076,0.16265
0.0024391,-1.6028,-0.10424
0.075567,-2.2149,-1.2352
0.065494,-1.7552,-0.55526
0.0076627,-0.90778,0.89858
-0.002393,-1.0051,1.0528
-0.0077976,-0.79916,1.4568
-0.018111,-0.79049,1.5722
-0.013374,-0.92295,1.3956
0.011308,-1.3579,0.5768
0.030747,-1.2322,0.7074
0.046209,-1.1492,0.75108
0.03152,-0.86318,1.2783
0.0025518,-0.48221,1.9906
-0.0088956,-0.49321,2.0684
-0.022665,-0.36209,2.2765
-0.034951,-0.31829,2.338
-0.063723,-0.36453,2.3349
-0.074329,-0.80826,1.643
-0.063248,-0.44042,1.718
-0.019439,-1.0361,0.67404
0.040137,-1.6807,-0.59343
0.032744,-1.0426,0.24605
0.033181,-0.96879,0.42561
0.040524,-0.89546,0.54163
0.034989,-0.75886,0.69957
0.0073745,-0.28676,1.3287
-0.023809,-0.12227,1.636
-0.04631,0.023863,1.7785
-0.070486,0.30089,2.1152
-0.13071,0.70936,2.7161
-0.14122,0.28942,2.0636
-0.14314,0.31102,1.9243
-0.14074,0.15483,1.6234
-0.12815,0.053801,1.3398
-0.14939,0.54294,2.029
-0.14439,0.090805,1.3781
-0.128,-0.15526,0.9896
-0.12525,0.13084,1.3007
-0.13602,0.17554,1.3684
-0.17315,0.64602,2.1444
-0.20666,1.1506,2.9341
-0.23956,1.4581,3.4985
-0.28778,2.0137,4.4226
-0.3337,2.5579,5.2884
-0.38671,3.0458,6.1411
-0.43665,3.4988,6.9166
-0.4858,4.012,7.8293
-0.52527,4.3554,8.4777
-0.54228,4.5356,8.7701
-0.5702,4.9601,9.5175
-0.61161,5.4259,10.345
-0.66169,6.0063,11.365
-0.70007,6.3249,11.973
-0.71611,6.5547,12.388
-0.71274,6.822,12.82
-0.73297,6.8231,12.908
-0.73194,6.6754,12.665
-0.72985,6.8662,12.923
-0.7371,6.9806,13.129
-0.74078,6.8985,13.028
-0.74363,6.9126,12.991
-0.7657,7.2736,13.552
-0.79125,7.5632,14.074
-0.7936,7.436,13.926
-0.79166,7.2851,13.575
-0.81367,7.6716,14.038
-0.86639,8.392,15.213
-0.91628,8.9186,16.199
-0.90519,8.47,15.621
-0.8854,8.0164,14.916
-0.85533,7.8121,14.394
-0.83762,7.9201,14.474
-0.81475,7.7436,14.229
-0.78828,7.4987,13.828
-0.77874,7.5389,13.799
-0.75804,7.0021,12.912
-0.76901,7.3378,13.369
-0.78645,7.5905,13.809
-0.79651,7.9402,14.488
-0.74873,7.3512,13.627
-0.70459,6.8814,12.819
-0.66699,6.1965,11.678
-0.63669,5.9639,11.132
-0.62765,5.9367,11.154
-0.60025,5.6955,10.805
-0.58656,5.7494,10.927
-0.57447,5.9448,11.426
-0.54418,5.9736,11.478
-0.51292,5.9478,11.515
-0.4424,5.5757,10.671
-0.35146,5.8697,11.112
-0.28052,5.4262,10.456
-0.2149,5.2942,10.58
-0.15722,4.6991,9.6281
-0.10662,4.0514,8.5191
-0.011058,3.6261,7.8536
-0.018016,3.4048,7.5095
-0.0019861,3.0915,7.0351
0.017954,2.9179,6.7807
-0.0051958,2.7913,6.581
0.0064133,2.7415,6.5376
0.028107,2.3616,5.8698
0.060759,2.415,6.0041
0.087467,2.2418,5.7739
0.093838,2.1325,5.6482
0.070082,1.961,5.3861
0.099037,1.7454,5.0258
0.059712,1.6809,4.9767
0.068584,1.5257,4.6806
0.05755,1.3136,4.329
0.062397,1.2113,4.2023
0.063488,1.223,4.198
0.10101,0.82816,3.4691
0.11964,0.70259,3.3526
0.07391,0.11134,2.3098
0.098426,0.25251,2.6742
0.14006,-0.084127,1.9471
0.1882,-0.25397,1.7175
0.2097,-0.55044,1.1583
0.16825,-0.16764,1.8092
0.13148,-0.080186,2.1178
0.085282,-0.03509,2.2351
0.097056,0.074544,2.4909
0.067372,0.2392,2.8112
0.063515,0.09101,2.6211
0.069584,-0.12126,2.2974
0.083303,-0.14878,2.2399
0.073899,-0.16171,2.1686
0.079274,-0.21843,2.1629
0.066585,-0.13141,2.3164
0.054979,-0.17061,2.3163
0.014113,0.43333,3.2334
0.014029,0.1317,2.8592
-0.00026095,0.069134,2.6747
0.0057834,-0.093042,2.3426
-0.012272,-0.0043878,2.449
-0.0093927,-0.16884,2.1181
0.0076001,-0.38322,1.8029
-0.0044276,-0.50866,1.4258
0.0060789,-0.76567,0.90971
0.0034259,-0.68895,0.9509
0.009321,-0.89845,0.58531
-0.00063496,-1.0941,0.24337
0.0098369,-1.5111,-0.59192
0.031771,-1.6695,-0.97292
0.071734,-1.9695,-1.6142
0.037179,-2.0474,-1.8428
0.045366,-2.1435,-2.1259
0.066212,-2.3217,-2.4781
0.066683,-2.2856,-2.4799
0.036636,-2.2571,-2.456
0.018347,-2.2402,-2.444
0.019587,-2.3905,-2.7718
0.022309,-2.1965,-2.4521
0.0080856,-1.8047,-1.7496
0.0234,-2.2949,-2.4987
0.033949,-2.2795,-2.5613
0.015847,-2.0003,-2.1245
0.016838,-1.8919,-1.9152
0.018603,-1.7247,-1.6058
0.013706,-1.6538,-1.4467
0.01894,-1.6717,-1.4198
0.011546,-1.56,-1.2795
0.02097,-1.6113,-1.3276
0.01558,-1.4707,-1.1134
0.023102,-1.5371,-1.2001
0.025452,-1.5127,-1.1859
0.026307,-1.3158,-0.88206
0.030591,-1.1547,-0.57568
0.044459,-1.3655,-0.86965
0.035939,-1.0987,-0.5111
0.040463,-0.89873,-0.12581
0.052933,-1.234,-0.59587
0.043335,-1.2396,-0.74169
0.04965,-1.1097,-0.54608
0.047745,-0.97717,-0.33997
0.056538,-0.95481,-0.24733
0.062964,-0.98372,-0.30231
0.063531,-0.99318,-0.36383
0.066792,-0.78249,0.021697
0.066545,-0.71752,0.13611
0.073612,-0.73725,0.11508
0.079549,-0.70954,0.18582
0.074417,-0.6202,0.2819
0.08421,-0.66832,0.23299
0.08144,-0.43747,0.59676
0.084918,-0.38304,0.72966
0.088855,-0.31525,0.86906
0.094432,-0.35479,0.813
0.098465,-0.28568,0.9183
0.098385,-0.15458,1.1169
0.10452,-0.11646,1.2064
0.10946,0.11346,1.6417
0.11499,-0.24024,1.0568
0.11582,-0.11183,1.2272
0.12518,-0.16164,1.2033
0.11874,-0.36578,0.77599
0.11794,-0.55556,0.36313
0.12377,-0.38221,0.61806
0.12816,-0.274,0.80606
0.12961,-0.18196,0.97023
0.14175,-0.14702,1.0608
0.15358,0.16647,1.679
0.14892,-0.053069,1.3108
0.16078,-0.17567,1.092
0.16441,-0.44227,0.59614
0.14831,-0.35684,0.66603
0.14506,-0.19474,0.94088
0.15693,-0.22572,0.96772
0.16337,-0.21632,0.92144
0.16948,-0.20912,0.97697
