Z,Y,X,Date
0,0,0,2024-05-09 20:00:00
0.865246,-0.997709,-0.281892,2024-05-09 20:01:00
-0.061283,-1.63843,-0.455211,2024-05-09 20:02:00
0.0243861,-1.72487,-0.358389,2024-05-09 20:03:00
0.213493,-1.79542,-0.414741,2024-05-09 20:04:00
0.163838,-1.86833,-0.339294,2024-05-09 20:05:00
0.134848,-1.83157,-0.400009,2024-05-09 20:06:00
0.0930429,-1.71717,-0.336936,2024-05-09 20:07:00
-0.0743999,-1.6885,-0.455011,2024-05-09 20:08:00
-0.159111,-1.44417,-0.433162,2024-05-09 20:09:00
-0.112338,-1.71133,-0.378359,2024-05-09 20:10:00
-0.0856865,-1.63913,-0.372603,2024-05-09 20:11:00
-0.131458,-1.58658,-0.436185,2024-05-09 20:12:00
-0.190123,-1.59639,-0.363007,2024-05-09 20:13:00
-0.499865,-1.12791,-0.422644,2024-05-09 20:14:00
-0.739974,-0.796636,-0.401886,2024-05-09 20:15:00
-0.773887,-0.642662,-0.377273,2024-05-09 20:16:00
-0.77777,-0.613475,-0.422621,2024-05-09 20:17:00
-0.719815,-0.691195,-0.35054,2024-05-09 20:18:00
-0.731271,-0.622024,-0.355934,2024-05-09 20:19:00
-0.752135,-0.59007,-0.323451,2024-05-09 20:20:00
-0.747956,-0.549457,-0.290817,2024-05-09 20:21:00
-0.819728,-0.428572,-0.246637,2024-05-09 20:22:00
-0.765367,-0.443231,-0.245406,2024-05-09 20:23:00
-0.541755,-0.718007,-0.266372,2024-05-09 20:24:00
-0.401564,-0.987873,-0.267445,2024-05-09 20:25:00
-0.407776,-0.991794,-0.22054,2024-05-09 20:26:00
-0.476528,-0.853786,-0.192794,2024-05-09 20:27:00
-0.586293,-0.715157,-0.152303,2024-05-09 20:28:00
-0.611404,-0.701724,-0.17573,2024-05-09 20:29:00
-0.652209,-0.628795,-0.17628,2024-05-09 20:30:00
-0.688223,-0.636967,-0.169447,2024-05-09 20:31:00
-0.776479,-0.450746,-0.131108,2024-05-09 20:32:00
-0.823225,-0.412775,-0.130503,2024-05-09 20:33:00
