Z,Y,X,Date
0,0,0,2024-05-09 20:00:00
0.44964,-2.77946,0.0293949,2024-05-09 20:01:00
-0.86791,-5.69385,-0.0458958,2024-05-09 20:02:00
-0.455897,-5.50436,-0.284894,2024-05-09 20:03:00
-0.436971,-5.86003,-0.106071,2024-05-09 20:04:00
-0.602993,-5.85767,-0.0787719,2024-05-09 20:05:00
-0.709456,-5.97727,-0.159042,2024-05-09 20:06:00
-0.868404,-5.97655,-0.237523,2024-05-09 20:07:00
-0.94905,-5.90004,-0.329914,2024-05-09 20:08:00
-0.972105,-5.63493,-0.50387,2024-05-09 20:09:00
-1.19151,-5.73882,-0.355181,2024-05-09 20:10:00
-1.16465,-5.63289,-0.407679,2024-05-09 20:11:00
-1.28267,-5.77457,-0.404979,2024-05-09 20:12:00
-1.61414,-5.39715,-0.296918,2024-05-09 20:13:00
-1.90786,-4.19609,-0.659456,2024-05-09 20:14:00
-2.00984,-3.15142,-0.947847,2024-05-09 20:15:00
-1.92615,-2.81842,-1.09352,2024-05-09 20:16:00
-2.00051,-2.82873,-1.10258,2024-05-09 20:17:00
-2.09763,-2.80227,-0.998212,2024-05-09 20:18:00
-2.16357,-2.38647,-1.0292,2024-05-09 20:19:00
-2.18362,-2.33436,-1.04724,2024-05-09 20:20:00
-2.31652,-1.99262,-0.988814,2024-05-09 20:21:00
-2.46063,-1.39886,-1.03106,2024-05-09 20:22:00
-2.2041,-1.66448,-1.14617,2024-05-09 20:23:00
-1.95568,-2.79656,-0.915345,2024-05-09 20:24:00
-2.12117,-3.39886,-0.575303,2024-05-09 20:25:00
-2.27154,-3.13745,-0.589394,2024-05-09 20:26:00
-2.32223,-2.60781,-0.674599,2024-05-09 20:27:00
-2.49288,-1.96927,-0.743806,2024-05-09 20:28:00
-2.55407,-2.02028,-0.842303,2024-05-09 20:29:00
-2.67241,-1.72542,-0.834474,2024-05-09 20:30:00
-2.81505,-1.55209,-0.806751,2024-05-09 20:31:00
-2.93687,-0.920195,-0.967673,2024-05-09 20:32:00
-2.96426,-0.780381,-1.02721,2024-05-09 20:33:00
-2.85445,-0.783816,-1.05804,2024-05-09 20:34:00
-2.8497,-0.956988,-0.988018,2024-05-09 20:35:00
-2.91392,-0.983579,-1.02038,2024-05-09 20:36:00
-2.89259,-1.12181,-0.849361,2024-05-09 20:37:00
-2.88071,-0.964361,-0.842132,2024-05-09 20:38:00
-2.9963,-0.859658,-0.825,2024-05-09 20:39:00
-3.02416,-0.802175,-0.756299,2024-05-09 20:40:00
-2.85407,-1.03887,-0.822676,2024-05-09 20:41:00
-2.77517,-1.88531,-0.596954,2024-05-09 20:42:00
-3.11551,-1.90715,-0.310286,2024-05-09 20:43:00
-3.42289,-0.929513,-0.433543,2024-05-09 20:44:00
