UTC,LCUSMin,LCUSMax,VUSMin,VUSMax,LCEUMin,LCEUMax,VEUMin,VEUMax
6/3/2025 0:00,1190,1201,931,913,-1191,-1198,-13428,-13437
6/3/2025 0:15,1190,1202,931,922,-1191,-1199,-13437,-13446
6/3/2025 0:30,1190,1201,931,922,-1191,-1199,-13437,-13446
6/3/2025 0:45,1190,1201,931,922,-1191,-1198,-13437,-13446
6/3/2025 1:00,1190,1201,940,922,-1192,-1198,-13437,-13455
6/3/2025 1:15,1190,1201,931,913,-1192,-1198,-13428,-13437
6/3/2025 1:30,1190,1201,931,922,-1192,-1198,-13428,-13437
6/3/2025 1:45,1190,1201,931,922,-1192,-1198,-13428,-13437
6/3/2025 2:00,1190,1201,931,922,-1192,-1199,-13428,-13437
6/3/2025 2:15,1190,1201,931,913,-1192,-1199,-13428,-13446
6/3/2025 2:30,1190,1201,931,922,-1192,-1199,-13437,-13446
6/3/2025 2:45,1190,1201,931,922,-1191,-1199,-13437,-13446
6/3/2025 3:00,1190,1201,931,922,-1191,-1198,-13437,-13446
6/3/2025 3:15,1190,1201,931,922,-1192,-1199,-13428,-13446
6/3/2025 3:30,1190,1201,931,913,-1191,-1199,-13428,-13455
6/3/2025 3:45,1190,1202,922,913,-1191,-1199,-13428,-13455
6/3/2025 4:00,1190,1201,931,922,-1192,-1198,-13419,-13437
6/3/2025 4:15,1190,1201,931,913,-1192,-1198,-13437,-13446
6/3/2025 4:30,1190,1201,940,913,-1192,-1198,-13437,-13446
6/3/2025 4:45,1190,1200,931,922,-1192,-1198,-13437,-13446
6/3/2025 5:00,1189,1201,931,913,-1191,-1199,-13437,-13455
6/3/2025 5:15,1190,1201,931,922,-1191,-1199,-13419,-13437
6/3/2025 5:30,1190,1201,931,913,-1192,-1198,-13419,-13437
6/3/2025 5:45,1190,1201,940,913,-1192,-1199,-13419,-13428
6/3/2025 6:00,1190,1201,931,913,-1192,-1198,-13428,-13437
6/3/2025 6:15,1190,1201,940,913,-1192,-1199,-13428,-13446
6/3/2025 6:30,1190,1201,940,913,-1192,-1199,-13437,-13455
6/3/2025 6:45,1190,1201,931,913,-1191,-1199,-13437,-13455
6/3/2025 7:00,1190,1200,931,922,-1192,-1199,-13419,-13437
6/3/2025 7:15,1190,1201,931,922,-1192,-1198,-13419,-13428
6/3/2025 7:30,1190,1201,940,922,-1191,-1198,-13419,-13428
6/3/2025 7:45,1190,1201,931,922,-1191,-1198,-13419,-13428
6/3/2025 8:00,1190,1201,940,922,-1192,-1198,-13410,-13419
6/3/2025 8:15,1190,1201,940,931,-1192,-1199,-13410,-13419
6/3/2025 8:30,1190,1201,940,931,-1192,-1198,-13410,-13419
6/3/2025 8:45,1190,1201,940,922,-1191,-1199,-13419,-13428
6/3/2025 9:00,1190,1201,940,931,-1192,-1198,-13419,-13428
6/3/2025 9:15,1190,1200,940,931,-1192,-1199,-13419,-13428
6/3/2025 9:30,1190,1201,940,922,-1191,-1198,-13419,-13428
6/3/2025 9:45,1190,1201,949,931,-1192,-1199,-13419,-13428
6/3/2025 10:00,1190,1200,949,940,-1191,-1199,-13410,-13419
6/3/2025 10:15,1190,1200,949,940,-1191,-1198,-13410,-13419
6/3/2025 10:30,1190,1201,949,940,-1192,-1199,-13410,-13419
6/3/2025 10:45,1190,1201,949,931,-1192,-1198,-13410,-13419
6/3/2025 11:00,1190,1201,949,940,-1192,-1198,-13410,-13419
6/3/2025 11:15,1190,1201,949,931,-1191,-1199,-13410,-13419
6/3/2025 11:30,1190,1200,949,931,-1191,-1198,-13419,-13428
6/3/2025 11:45,1190,1201,940,913,-1191,-1199,-13419,-13446
6/3/2025 12:00,1190,1201,940,922,-1192,-1198,-13428,-13446
6/3/2025 12:15,1190,1201,940,931,-1191,-1199,-13419,-13428
6/3/2025 12:30,1190,1201,940,922,-1191,-1199,-13419,-13428
6/3/2025 12:45,1190,1201,940,931,-1191,-1199,-13419,-13428
6/3/2025 13:00,1190,1200,940,931,-1191,-1199,-13419,-13428
6/3/2025 13:15,1190,1200,940,922,-1192,-1198,-13419,-13437
6/3/2025 13:30,1190,1201,931,922,-1191,-1199,-13428,-13437
6/3/2025 13:45,1190,1200,940,922,-1191,-1199,-13428,-13437
6/3/2025 14:00,1190,1202,940,931,-1192,-1198,-13428,-13437
6/3/2025 14:15,1190,1202,940,922,-1191,-1199,-13428,-13446
6/3/2025 14:30,1190,1202,949,931,-1191,-1199,-13428,-13437
6/3/2025 14:45,1190,1202,958,940,-1191,-1199,-13428,-13437
6/3/2025 15:00,1190,1202,949,931,-1192,-1198,-13428,-13446
6/3/2025 15:15,1190,1200,949,931,-1192,-1198,-13428,-13446
6/3/2025 15:30,1190,1200,949,940,-1191,-1199,-13419,-13437
6/3/2025 15:45,1190,1201,940,931,-1192,-1199,-13428,-13446
6/3/2025 16:00,1190,1202,940,931,-1191,-1199,-13428,-13437
6/3/2025 16:15,1190,1201,940,922,-1192,-1199,-13428,-13437
6/3/2025 16:30,1190,1201,940,931,-1191,-1199,-13428,-13446
6/3/2025 16:45,1190,1200,940,931,-1192,-1199,-13437,-13446
6/3/2025 17:00,1190,1200,940,931,-1192,-1198,-13437,-13446
6/3/2025 17:15,1190,1201,940,931,-1191,-1199,-13437,-13446
6/3/2025 17:30,1189,1202,940,931,-1192,-1199,-13437,-13446
6/3/2025 17:45,1190,1201,931,922,-1192,-1198,-13437,-13446
6/3/2025 18:00,1190,1200,931,913,-1192,-1199,-13437,-13455
6/3/2025 18:15,1190,1201,931,913,-1192,-1199,-13437,-13455
6/3/2025 18:30,1190,1200,931,922,-1191,-1199,-13437,-13446
6/3/2025 18:45,1190,1201,931,905,-1191,-1199,-13437,-13464
6/3/2025 19:00,1190,1202,922,905,-1192,-1199,-13446,-13473
6/3/2025 19:15,1190,1201,931,913,-1192,-1198,-13437,-13455
6/3/2025 19:30,1190,1201,931,905,-1192,-1199,-13437,-13464
6/3/2025 19:45,1190,1201,922,905,-1192,-1198,-13455,-13464
6/3/2025 20:00,1190,1201,913,887,-1192,-1198,-13455,-13481
6/3/2025 20:15,1190,1201,905,896,-1192,-1198,-13464,-13473
6/3/2025 20:30,1190,1201,905,896,-1191,-1198,-13464,-13473
6/3/2025 20:45,1190,1201,905,887,-1192,-1198,-13464,-13481
