event_date,Dst,Ap,Kp,Speed,IMF_Bt,IMF_Bz,event_start,event_end
2015-03-17,-234,108,8-,640,35.67,-28.57,2015-03-16 00:00,2015-03-20 23:59:59
2015-06-23,-198,72,8-,808.4,31.95,-24.65,2015-06-22 00:00,2015-06-25 23:59:59
2015-12-20,-166,70,7-,500.2,19.60,-18.50,2015-12-19 00:00,2015-12-22 23:59:59
2015-10-07,-130,74,7+,844.6,22.80,-18.10,2015-10-06 00:00,2015-10-09 23:59:59
2015-06-22,-114,57,8+,704.7,42.18,-39.42,2015-06-21 00:00,2015-06-24 23:59:59
2015-01-07,-107,31,6+,505.6,23.08,-20.98,2015-01-06 00:00,2015-01-09 23:59:59
2015-09-09,-105,59,6,512.4,15.20,-10.10,2015-09-08 00:00,2015-09-12 23:59:59
2015-12-31,-105,35,6-,575.1,17.30,-16.50,2015-12-30 00:00,2016-01-03 23:59:59
2015-08-27,-103,52,6+,414.5,14.00,-13.60,2015-08-26 00:00,2015-08-30 23:59:59
2016-10-13,-110,46,6+,474.9,24.77,-21.02,2016-10-12 00:00,2015-10-15 23:59:59
2016-01-20,-101,26,5-,424.1,17.50,-14.80,2016-01-19 00:00,2015-10-22 23:59:59
2017-05-28,-125,49,7,395.5,20.79,-19.88,2017-05-27 00:00,2017-05-30 23:59:59
2017-09-08,-122,106,8+,875.2,27.65,-25.77,2017-09-06 00:00,2017-09-11 23:59:59
2018-08-26,-175,67,7+,565.8,21.24,-17.33,2018-08-25 00:00,2018-08-28 23:59:59
2021-11-04,-105,72,8+,817.3,24.09,-18.08,2021-11-03 00:00,2021-11-06 23:59:59
2023-04-22,-213,72,8,635.7,34.66,-33.32,2023-04-23 00:00,2023-04-26 23:59:59
2023-11-05,-172,61,7+,534.6,44.71,-26.73,2023-11-04 00:00,2023-11-07 23:59:59
2023-03-22,-163,73,8,499.4,20.39,-15.92,2023-03-23 00:00,2023-03-27 23:59:59
2023-02-27,-132,91,7-,882.5,20.68,-19.21,2023-02-26 00:00,2023-02-29 23:59:59
2023-12-01,-108,52,7-,546.6,28.83,-27.08,2023-11-30 00:00,2023-12-04 23:59:59
2024-05-11,-412,271,9,993.2,55.75,-50.06,2024-05-08 00:00,2024-05-14 23:59:59
2024-10-10,-335,116,8+,813.9,40.51,-37.60,2024-10-08 00:00,2024-10-14 23:59:59
2024-08-12,-203,127,8,533.6,23.33,-20.37,2024-08-11 00:00,2024-08-16 23:59:59
2025-01-01,-215,81,8,575.2,25.09,-23.52,2024-12-31 00:00,2025-01-03 23:59:59
2025-04-16,-127,75,8-,662.9,24.78,-17.20,2025-04-15 00:00,2025-04-18 23:59:59

